년도,시도,시군구,산후조리원수,일반실_병실수,특실_병실수,총병실수
2020,서울,종로구,2,880,2460,3340
2020,서울,중구,2,730,780,1510
2020,서울,성동구,1,450,0,450
2020,서울,광진구,3,1000,580,1580
2020,서울,동대문구,7,2080,1326,3406
2020,서울,중랑구,4,1150,1090,2240
2020,서울,성북구,3,840,298,1138
2020,서울,강북구,3,910,800,1710
2020,서울,도봉구,4,1060,640,1700
2020,서울,노원구,5,1430,1082,2512
2020,서울,은평구,6,1730,1220,2950
2020,서울,서대문구,2,650,736,1386
2020,서울,마포구,3,520,590,1110
2020,서울,양천구,9,2855,860,3715
2020,서울,강서구,7,2470,2250,4720
2020,서울,구로구,7,1990,1780,3770
2020,서울,금천구,3,830,630,1460
2020,서울,영등포구,5,1385,1515,2900
2020,서울,동작구,3,840,1010,1850
2020,서울,관악구,2,690,390,1080
2020,서울,서초구,5,2421,1421,3842
2020,서울,강남구,17,10900,20160,31060
2020,서울,송파구,11,3270,3500,6770
2020,서울,강동구,11,3157,2517,5674
2020,서울,서구,0,0,0,0
2020,서울,동구,0,0,0,0
2020,서울,부산진구,0,0,0,0
2020,서울,동래구,0,0,0,0
2020,서울,남구,0,0,0,0
2020,서울,북구,0,0,0,0
2020,서울,해운대구,0,0,0,0
2020,서울,사하구,0,0,0,0
2020,서울,금정구,0,0,0,0
2020,서울,연제구,0,0,0,0
2020,서울,수영구,0,0,0,0
2020,서울,기장군,0,0,0,0
2020,서울,수성구,0,0,0,0
2020,서울,달서구,0,0,0,0
2020,서울,달성군,0,0,0,0
2020,서울,미추홀구,0,0,0,0
2020,서울,연수구,0,0,0,0
2020,서울,남동구,0,0,0,0
2020,서울,부평구,0,0,0,0
2020,서울,계양구,0,0,0,0
2020,서울,광산구,0,0,0,0
2020,서울,유성구,0,0,0,0
2020,서울,세종시,0,0,0,0
2020,서울,고양시 덕양구,0,0,0,0
2020,서울,고양시 일산동구,0,0,0,0
2020,서울,고양시 일산서구,0,0,0,0
2020,서울,광명시,0,0,0,0
2020,서울,구리시,0,0,0,0
2020,서울,군포시,0,0,0,0
2020,서울,김포시,0,0,0,0
2020,서울,남양주시,0,0,0,0
2020,서울,남양주시(풍양),0,0,0,0
2020,서울,부천시 원미구,0,0,0,0
2020,서울,성남시 분당구,0,0,0,0
2020,서울,성남시 수정구,0,0,0,0
2020,서울,성남시 중원구,0,0,0,0
2020,서울,시흥시,0,0,0,0
2020,서울,안산시 단원구,0,0,0,0
2020,서울,안산시 상록구,0,0,0,0
2020,서울,안성시,0,0,0,0
2020,서울,안양시 동안구,0,0,0,0
2020,서울,안양시 만안구,0,0,0,0
2020,서울,양주시,0,0,0,0
2020,서울,오산시,0,0,0,0
2020,서울,용인시 기흥구,0,0,0,0
2020,서울,용인시 수지구,0,0,0,0
2020,서울,용인시 처인구,0,0,0,0
2020,서울,의왕시,0,0,0,0
2020,서울,의정부시,0,0,0,0
2020,서울,이천시,0,0,0,0
2020,서울,파주시,0,0,0,0
2020,서울,평택시평택,0,0,0,0
2020,서울,평택시송탄,0,0,0,0
2020,서울,하남시,0,0,0,0
2020,서울,화성시,0,0,0,0
2020,서울,수원시 장안구,0,0,0,0
2020,서울,수원시 권선구,0,0,0,0
2020,서울,수원시 팔달구,0,0,0,0
2020,서울,수원시 영통구,0,0,0,0
2020,서울,여주시,0,0,0,0
2020,서울,강릉시,0,0,0,0
2020,서울,동해시,0,0,0,0
2020,서울,삼척시,0,0,0,0
2020,서울,원주시,0,0,0,0
2020,서울,춘천시,0,0,0,0
2020,서울,철원군,0,0,0,0
2020,서울,천안시 동남구,0,0,0,0
2020,서울,천안시 서북구,0,0,0,0
2020,서울,공주시,0,0,0,0
2020,서울,아산시,0,0,0,0
2020,서울,서산시,0,0,0,0
2020,서울,당진시,0,0,0,0
2020,서울,청주시 상당구,0,0,0,0
2020,서울,청주시 서원구,0,0,0,0
2020,서울,청주시 흥덕구,0,0,0,0
2020,서울,청주시 청원구,0,0,0,0
2020,서울,충주시,0,0,0,0
2020,서울,군산시,0,0,0,0
2020,서울,전주시,0,0,0,0
2020,서울,익산시,0,0,0,0
2020,서울,정읍시,0,0,0,0
2020,서울,목포시,0,0,0,0
2020,서울,여수시,0,0,0,0
2020,서울,순천시,0,0,0,0
2020,서울,광양시,0,0,0,0
2020,서울,강진군,0,0,0,0
2020,서울,해남군,0,0,0,0
2020,서울,영광군,0,0,0,0
2020,서울,완도군,0,0,0,0
2020,서울,경산시,0,0,0,0
2020,서울,경주시,0,0,0,0
2020,서울,구미시,0,0,0,0
2020,서울,안동시,0,0,0,0
2020,서울,포항시(북구),0,0,0,0
2020,서울,거제시,0,0,0,0
2020,서울,김해시,0,0,0,0
2020,서울,양산시,0,0,0,0
2020,서울,진주시,0,0,0,0
2020,서울,창원시,0,0,0,0
2020,서울,통영시,0,0,0,0
2020,서울,제주시,0,0,0,0
2020,서울,서귀포시,0,0,0,0
2020,서울,용산구,0,0,0,0
2020,서울,수원시,0,0,0,0
2020,서울,용인시,0,0,0,0
2020,서울,고양시,0,0,0,0
2020,서울,성남시,0,0,0,0
2020,서울,부천시,0,0,0,0
2020,서울,안산시,0,0,0,0
2020,서울,평택시,0,0,0,0
2020,서울,안양시,0,0,0,0
2020,서울,포천시,0,0,0,0
2020,서울,화천군,0,0,0,0
2020,서울,양구군,0,0,0,0
2020,서울,청주시,0,0,0,0
2020,서울,천안시,0,0,0,0
2020,서울,홍성군,0,0,0,0
2020,서울,나주시,0,0,0,0
2020,서울,포항시,0,0,0,0
2020,서울,김천시,0,0,0,0
2020,서울,영천시,0,0,0,0
2020,서울,상주시,0,0,0,0
2020,서울,울진군,0,0,0,0
2020,서울,밀양시,0,0,0,0
2020,부산,종로구,0,0,0,0
2020,부산,중구,0,0,0,0
2020,부산,성동구,0,0,0,0
2020,부산,광진구,0,0,0,0
2020,부산,동대문구,0,0,0,0
2020,부산,중랑구,0,0,0,0
2020,부산,성북구,0,0,0,0
2020,부산,강북구,0,0,0,0
2020,부산,도봉구,0,0,0,0
2020,부산,노원구,0,0,0,0
2020,부산,은평구,0,0,0,0
2020,부산,서대문구,0,0,0,0
2020,부산,마포구,0,0,0,0
2020,부산,양천구,0,0,0,0
2020,부산,강서구,1,190,0,190
2020,부산,구로구,0,0,0,0
2020,부산,금천구,0,0,0,0
2020,부산,영등포구,0,0,0,0
2020,부산,동작구,0,0,0,0
2020,부산,관악구,0,0,0,0
2020,부산,서초구,0,0,0,0
2020,부산,강남구,0,0,0,0
2020,부산,송파구,0,0,0,0
2020,부산,강동구,0,0,0,0
