년도,시도,시군구,산후조리원수,총병실수,SIGUNGU_CD
2023,강원특별자치도,강릉시,3,1840.0,32030
2023,강원특별자치도,동해시,2,940.0,32040
2023,강원특별자치도,삼척시,1,180.0,32070
2023,강원특별자치도,양구군,1,180.0,32580
2023,강원특별자치도,원주시,5,2405.0,32020
2023,강원특별자치도,철원군,1,358.0,32560
2023,강원특별자치도,춘천시,3,1730.0,32010
2023,강원특별자치도,화천군,1,180.0,32570
2023,경기도,고양시 덕양구,3,1580.0,31101
2023,경기도,고양시 일산동구,5,3345.0,31103
2023,경기도,고양시 일산서구,3,1000.0,31104
2023,경기도,광명시,6,3070.0,31060
2023,경기도,구리시,4,2370.0,31120
2023,경기도,군포시,4,1620.0,31160
2023,경기도,김포시,5,4185.0,31230
2023,경기도,남양주시,3,810.0,31130
2023,경기도,성남시 분당구,13,9581.0,31023
2023,경기도,성남시 수정구,6,2611.0,31021
2023,경기도,성남시 중원구,1,520.0,31022
2023,경기도,수원시 권선구,5,2426.0,31012
2023,경기도,수원시 영통구,6,3595.0,31014
2023,경기도,수원시 장안구,2,730.0,31011
2023,경기도,수원시 팔달구,3,1570.0,31013
2023,경기도,시흥시,2,790.0,31150
2023,경기도,안산시 단원구,5,2349.0,31092
2023,경기도,안산시 상록구,1,180.0,31091
2023,경기도,안양시 동안구,6,2995.0,31042
2023,경기도,안양시 만안구,1,290.0,31041
2023,경기도,양주시,2,1450.0,31260
2023,경기도,여주시,1,168.0,31280
2023,경기도,오산시,2,840.0,31140
2023,경기도,용인시 기흥구,8,3926.0,31192
2023,경기도,용인시 수지구,6,3705.0,31193
2023,경기도,용인시 처인구,2,930.0,31191
2023,경기도,의왕시,1,730.0,31170
2023,경기도,의정부시,6,3200.0,31030
2023,경기도,이천시,2,1290.0,31210
2023,경기도,파주시,5,3750.0,31200
2023,경기도,평택시,6,3647.0,31070
2023,경기도,포천시,2,668.0,31270
2023,경기도,하남시,4,2840.0,31180
2023,경기도,화성시,11,6390.0,31240
