연도,시도,시군구,연령구분,분만건수
2018,서울,강남구,19세 이하,0
2018,서울,강남구,20~29세,1124
2018,서울,강남구,30~39세,8000
2018,서울,강남구,40~49세,628
2018,서울,강남구,50세 이상,0
2018,서울,강동구,19세 이하,0
2018,서울,강동구,20~29세,717
2018,서울,강동구,30~39세,2740
2018,서울,강동구,40~49세,136
2018,서울,강동구,50세 이상,0
2018,서울,강서구,19세 이하,0
2018,서울,강서구,20~29세,1012
2018,서울,강서구,30~39세,4465
2018,서울,강서구,40~49세,232
2018,서울,강서구,50세 이상,0
2018,서울,관악구,19세 이하,0
2018,서울,관악구,20~29세,415
2018,서울,관악구,30~39세,1450
2018,서울,관악구,40~49세,71
2018,서울,관악구,50세 이상,0
2018,서울,구로구,19세 이하,0
2018,서울,구로구,20~29세,753
2018,서울,구로구,30~39세,2824
2018,서울,구로구,40~49세,134
2018,서울,구로구,50세 이상,0
2018,서울,도봉구,19세 이하,0
2018,서울,도봉구,20~29세,284
2018,서울,도봉구,30~39세,962
2018,서울,도봉구,40~49세,38
2018,서울,도봉구,50세 이상,0
2018,서울,동대문구,19세 이하,0
2018,서울,동대문구,20~29세,392
2018,서울,동대문구,30~39세,1424
2018,서울,동대문구,40~49세,77
2018,서울,동대문구,50세 이상,0
2018,서울,동작구,19세 이하,0
2018,서울,동작구,20~29세,400
2018,서울,동작구,30~39세,1935
2018,서울,동작구,40~49세,124
2018,서울,동작구,50세 이상,0
2018,서울,마포구,19세 이하,0
2018,서울,마포구,20~29세,150
2018,서울,마포구,30~39세,578
2018,서울,마포구,40~49세,31
2018,서울,마포구,50세 이상,0
2018,서울,서대문구,19세 이하,0
2018,서울,서대문구,20~29세,336
2018,서울,서대문구,30~39세,1844
2018,서울,서대문구,40~49세,143
2018,서울,서대문구,50세 이상,0
2018,서울,성동구,19세 이하,0
2018,서울,성동구,20~29세,118
2018,서울,성동구,30~39세,560
2018,서울,성동구,40~49세,24
2018,서울,성동구,50세 이상,0
2018,서울,성북구,19세 이하,0
2018,서울,성북구,20~29세,398
2018,서울,성북구,30~39세,1404
2018,서울,성북구,40~49세,68
2018,서울,성북구,50세 이상,0
2018,서울,영등포구,19세 이하,11
2018,서울,영등포구,20~29세,375
2018,서울,영등포구,30~39세,1780
2018,서울,영등포구,40~49세,113
2018,서울,영등포구,50세 이상,0
2018,서울,용산구,19세 이하,0
2018,서울,용산구,20~29세,95
2018,서울,용산구,30~39세,427
2018,서울,용산구,40~49세,26
2018,서울,용산구,50세 이상,0
2018,서울,은평구,19세 이하,0
2018,서울,은평구,20~29세,592
2018,서울,은평구,30~39세,2131
2018,서울,은평구,40~49세,123
2018,서울,은평구,50세 이상,0
2018,서울,종로구,19세 이하,0
2018,서울,종로구,20~29세,178
2018,서울,종로구,30~39세,1436
2018,서울,종로구,40~49세,149
2018,서울,종로구,50세 이상,0
2018,서울,중구,19세 이하,0
2018,서울,중구,20~29세,385
2018,서울,중구,30~39세,2534
2018,서울,중구,40~49세,315
2018,서울,중구,50세 이상,0
2018,서울,송파구,19세 이하,0
2018,서울,송파구,20~29세,822
2018,서울,송파구,30~39세,4495
2018,서울,송파구,40~49세,316
2018,서울,송파구,50세 이상,0
2018,서울,중랑구,19세 이하,0
2018,서울,중랑구,20~29세,380
2018,서울,중랑구,30~39세,1173
2018,서울,중랑구,40~49세,73
2018,서울,중랑구,50세 이상,0
2018,서울,양천구,19세 이하,0
2018,서울,양천구,20~29세,256
2018,서울,양천구,30~39세,977
2018,서울,양천구,40~49세,45
2018,서울,양천구,50세 이상,0
2018,서울,서초구,19세 이하,0
2018,서울,서초구,20~29세,330
2018,서울,서초구,30~39세,1972
2018,서울,서초구,40~49세,109
2018,서울,서초구,50세 이상,0
2018,서울,노원구,19세 이하,10
2018,서울,노원구,20~29세,569
2018,서울,노원구,30~39세,2248
2018,서울,노원구,40~49세,129
2018,서울,노원구,50세 이상,0
2018,서울,광진구,19세 이하,0
2018,서울,광진구,20~29세,355
2018,서울,광진구,30~39세,1468
2018,서울,광진구,40~49세,78
2018,서울,광진구,50세 이상,0
2018,서울,강북구,19세 이하,0
2018,서울,강북구,20~29세,547
2018,서울,강북구,30~39세,1790
2018,서울,강북구,40~49세,80
2018,서울,강북구,50세 이상,0
2018,서울,금천구,19세 이하,0
2018,서울,금천구,20~29세,324
2018,서울,금천구,30~39세,887
2018,서울,금천구,40~49세,21
2018,서울,금천구,50세 이상,0
2018,부산,부산남구,19세 이하,0
2018,부산,부산남구,20~29세,55
2018,부산,부산남구,30~39세,141
2018,부산,부산남구,40~49세,0
2018,부산,부산남구,50세 이상,0
2018,부산,부산동구,19세 이하,11
2018,부산,부산동구,20~29세,389
2018,부산,부산동구,30~39세,1568
2018,부산,부산동구,40~49세,133
2018,부산,부산동구,50세 이상,0
2018,부산,부산동래구,19세 이하,0
2018,부산,부산동래구,20~29세,355
2018,부산,부산동래구,30~39세,1250
2018,부산,부산동래구,40~49세,72
2018,부산,부산동래구,50세 이상,0
2018,부산,부산진구,19세 이하,10
2018,부산,부산진구,20~29세,584
2018,부산,부산진구,30~39세,2098
2018,부산,부산진구,40~49세,114
2018,부산,부산진구,50세 이상,0
2018,부산,부산북구,19세 이하,0
2018,부산,부산북구,20~29세,702
2018,부산,부산북구,30~39세,2106
2018,부산,부산북구,40~49세,89
2018,부산,부산북구,50세 이상,0
2018,부산,부산서구,19세 이하,0
2018,부산,부산서구,20~29세,197
2018,부산,부산서구,30~39세,676
2018,부산,부산서구,40~49세,56
2018,부산,부산서구,50세 이상,0
2018,부산,부산영도구,19세 이하,0
2018,부산,부산영도구,20~29세,0
2018,부산,부산영도구,30~39세,0
2018,부산,부산영도구,40~49세,0
2018,부산,부산영도구,50세 이상,0
2018,부산,부산중구,19세 이하,0
2018,부산,부산중구,20~29세,0
2018,부산,부산중구,30~39세,0
2018,부산,부산중구,40~49세,0
2018,부산,부산중구,50세 이상,0
2018,부산,부산해운대구,19세 이하,0
2018,부산,부산해운대구,20~29세,388
2018,부산,부산해운대구,30~39세,1386
2018,부산,부산해운대구,40~49세,96
2018,부산,부산해운대구,50세 이상,0
2018,부산,부산사하구,19세 이하,10
2018,부산,부산사하구,20~29세,766
2018,부산,부산사하구,30~39세,2403
2018,부산,부산사하구,40~49세,87
2018,부산,부산사하구,50세 이상,0
2018,부산,부산금정구,19세 이하,0
2018,부산,부산금정구,20~29세,418
2018,부산,부산금정구,30~39세,1348
2018,부산,부산금정구,40~49세,59
2018,부산,부산금정구,50세 이상,0
2018,부산,부산강서구,19세 이하,0
2018,부산,부산강서구,20~29세,0
2018,부산,부산강서구,30~39세,0
2018,부산,부산강서구,40~49세,0
2018,부산,부산강서구,50세 이상,0
2018,부산,부산연제구,19세 이하,0
2018,부산,부산연제구,20~29세,358
2018,부산,부산연제구,30~39세,1316
2018,부산,부산연제구,40~49세,41
2018,부산,부산연제구,50세 이상,0
2018,부산,부산수영구,19세 이하,10
2018,부산,부산수영구,20~29세,403
2018,부산,부산수영구,30~39세,1516
2018,부산,부산수영구,40~49세,77
2018,부산,부산수영구,50세 이상,0
2018,부산,부산사상구,19세 이하,0
2018,부산,부산사상구,20~29세,0
2018,부산,부산사상구,30~39세,0
2018,부산,부산사상구,40~49세,0
2018,부산,부산사상구,50세 이상,0
2018,부산,부산기장군,19세 이하,0
2018,부산,부산기장군,20~29세,184
2018,부산,부산기장군,30~39세,606
2018,부산,부산기장군,40~49세,43
2018,부산,부산기장군,50세 이상,0
2018,인천,인천미추홀구,19세 이하,24
2018,인천,인천미추홀구,20~29세,1684
2018,인천,인천미추홀구,30~39세,4361
2018,인천,인천미추홀구,40~49세,250
2018,인천,인천미추홀구,50세 이상,0
2018,인천,인천동구,19세 이하,0
2018,인천,인천동구,20~29세,0
2018,인천,인천동구,30~39세,0
2018,인천,인천동구,40~49세,0
2018,인천,인천동구,50세 이상,0
2018,인천,인천부평구,19세 이하,15
2018,인천,인천부평구,20~29세,639
2018,인천,인천부평구,30~39세,1451
2018,인천,인천부평구,40~49세,68
2018,인천,인천부평구,50세 이상,0
2018,인천,인천중구,19세 이하,0
2018,인천,인천중구,20~29세,61
2018,인천,인천중구,30~39세,205
2018,인천,인천중구,40~49세,0
2018,인천,인천중구,50세 이상,0
2018,인천,인천서구,19세 이하,10
2018,인천,인천서구,20~29세,1032
2018,인천,인천서구,30~39세,2659
2018,인천,인천서구,40~49세,135
