시도,시군구,산부인과,연도
서울특별시,강남구,55,2018
서울특별시,강동구,17,2018
서울특별시,강북구,9,2018
서울특별시,강서구,14,2018
서울특별시,관악구,20,2018
서울특별시,광진구,14,2018
서울특별시,구로구,12,2018
서울특별시,금천구,10,2018
서울특별시,노원구,17,2018
서울특별시,도봉구,7,2018
서울특별시,동대문구,18,2018
서울특별시,동작구,10,2018
서울특별시,마포구,26,2018
서울특별시,서대문구,10,2018
서울특별시,서초구,24,2018
서울특별시,성동구,9,2018
서울특별시,성북구,13,2018
서울특별시,송파구,25,2018
서울특별시,양천구,16,2018
서울특별시,영등포구,17,2018
서울특별시,용산구,8,2018
서울특별시,은평구,13,2018
서울특별시,종로구,9,2018
서울특별시,중구,10,2018
서울특별시,중랑구,11,2018
부산광역시,부산강서구,1,2018
부산광역시,부산금정구,3,2018
부산광역시,부산기장군,2,2018
부산광역시,부산남구,4,2018
부산광역시,부산동구,3,2018
부산광역시,부산동래구,5,2018
부산광역시,부산북구,5,2018
부산광역시,부산사상구,5,2018
부산광역시,부산사하구,3,2018
부산광역시,부산서구,2,2018
부산광역시,부산수영구,3,2018
부산광역시,부산연제구,4,2018
부산광역시,부산영도구,5,2018
부산광역시,부산중구,2,2018
부산광역시,부산진구,8,2018
부산광역시,부산해운대구,10,2018
대구광역시,대구남구,5,2018
대구광역시,대구달서구,21,2018
대구광역시,대구달성군,4,2018
대구광역시,대구동구,15,2018
대구광역시,대구북구,12,2018
대구광역시,대구서구,4,2018
대구광역시,대구수성구,15,2018
대구광역시,대구중구,11,2018
인천광역시,인천계양구,6,2018
인천광역시,인천남동구,10,2018
인천광역시,인천동구,2,2018
인천광역시,인천미추홀구,7,2018
인천광역시,인천부평구,15,2018
인천광역시,인천서구,11,2018
인천광역시,인천연수구,5,2018
인천광역시,인천중구,3,2018
광주광역시,광주광산구,13,2018
광주광역시,광주남구,2,2018
광주광역시,광주동구,4,2018
광주광역시,광주북구,9,2018
광주광역시,광주서구,9,2018
대전광역시,대전대덕구,6,2018
대전광역시,대전동구,7,2018
대전광역시,대전서구,19,2018
대전광역시,대전유성구,10,2018
대전광역시,대전중구,3,2018
울산광역시,울산남구,16,2018
울산광역시,울산동구,5,2018
울산광역시,울산북구,4,2018
울산광역시,울산울주군,2,2018
울산광역시,울산중구,5,2018
세종특별자치시,세종시,6,2018
경기도,고양덕양구,8,2018
경기도,고양일산동구,6,2018
경기도,고양일산서구,7,2018
경기도,과천시,1,2018
경기도,광명시,9,2018
경기도,광주시,4,2018
경기도,구리시,6,2018
경기도,군포시,5,2018
경기도,김포시,8,2018
경기도,남양주시,15,2018
경기도,동두천시,3,2018
경기도,부천시,17,2018
경기도,성남분당구,17,2018
경기도,성남수정구,5,2018
경기도,성남중원구,7,2018
경기도,수원권선구,5,2018
경기도,수원영통구,7,2018
경기도,수원장안구,4,2018
경기도,수원팔달구,14,2018
경기도,시흥시,10,2018
경기도,안산단원구,15,2018
경기도,안산상록구,6,2018
경기도,안성시,3,2018
경기도,안양동안구,12,2018
경기도,안양만안구,5,2018
경기도,양주시,2,2018
경기도,양평군,1,2018
경기도,여주시,2,2018
경기도,오산시,3,2018
경기도,용인기흥구,6,2018
경기도,용인수지구,7,2018
경기도,용인처인구,5,2018
경기도,의왕시,1,2018
경기도,의정부시,10,2018
경기도,이천시,4,2018
경기도,파주시,3,2018
경기도,평택시,11,2018
경기도,포천시,3,2018
경기도,하남시,3,2018
경기도,화성시,8,2018
강원특별자치도,강릉시,6,2018
강원특별자치도,동해시,3,2018
강원특별자치도,삼척시,1,2018
강원특별자치도,속초시,4,2018
강원특별자치도,원주시,9,2018
강원특별자치도,춘천시,6,2018
강원특별자치도,태백시,1,2018
강원특별자치도,홍천군,1,2018
충청북도,보은군,1,2018
충청북도,옥천군,1,2018
충청북도,음성군,2,2018
충청북도,제천시,7,2018
충청북도,증평군,1,2018
충청북도,진천군,1,2018
충청북도,청주상당구,6,2018
충청북도,청주서원구,3,2018
충청북도,청주청원구,3,2018
충청북도,청주흥덕구,9,2018
충청북도,충주시,7,2018
충청남도,계룡시,1,2018
충청남도,공주시,4,2018
충청남도,금산군,1,2018
충청남도,논산시,3,2018
충청남도,당진시,2,2018
충청남도,보령시,2,2018
충청남도,서산시,3,2018
충청남도,서천군,1,2018
충청남도,아산시,4,2018
충청남도,예산군,1,2018
충청남도,천안동남구,5,2018
충청남도,천안서북구,12,2018
충청남도,홍성군,3,2018
전라북도,군산시,7,2018
전라북도,김제시,2,2018
전라북도,남원시,2,2018
전라북도,부안군,1,2018
전라북도,완주군,1,2018
전라북도,익산시,10,2018
전라북도,전주덕진구,13,2018
전라북도,전주완산구,10,2018
전라북도,정읍시,4,2018
전라남도,고흥군,1,2018
전라남도,나주시,3,2018
전라남도,목포시,6,2018
전라남도,순천시,5,2018
전라남도,여수시,2,2018
전라남도,장흥군,1,2018
전라남도,해남군,1,2018
경상북도,경산시,7,2018
경상북도,경주시,5,2018
경상북도,구미시,15,2018
경상북도,김천시,5,2018
경상북도,문경시,3,2018
경상북도,상주시,2,2018
경상북도,안동시,4,2018
경상북도,영주시,3,2018
경상북도,영천시,2,2018
경상북도,칠곡군,2,2018
경상북도,포항남구,2,2018
경상북도,포항북구,4,2018
경상남도,거제시,3,2018
경상남도,김해시,10,2018
경상남도,남해군,1,2018
경상남도,밀양시,2,2018
경상남도,사천시,2,2018
경상남도,양산시,6,2018
경상남도,진주시,6,2018
경상남도,창녕군,1,2018
경상남도,창원마산합포구,6,2018
경상남도,창원마산회원구,6,2018
경상남도,창원성산구,4,2018
경상남도,창원의창구,6,2018
경상남도,창원진해구,3,2018
경상남도,통영시,2,2018
경상남도,함안군,1,2018
제주특별자치도,서귀포시,4,2018
제주특별자치도,제주시,18,2018
서울특별시,강남구,53,2019
서울특별시,강동구,17,2019
서울특별시,강북구,8,2019
서울특별시,강서구,18,2019
서울특별시,관악구,20,2019
서울특별시,광진구,13,2019
서울특별시,구로구,12,2019
서울특별시,금천구,11,2019
서울특별시,노원구,17,2019
서울특별시,도봉구,7,2019
서울특별시,동대문구,17,2019
서울특별시,동작구,9,2019
서울특별시,마포구,26,2019
서울특별시,서대문구,9,2019
서울특별시,서초구,26,2019
서울특별시,성동구,10,2019
서울특별시,성북구,13,2019
서울특별시,송파구,24,2019
서울특별시,양천구,15,2019
서울특별시,영등포구,17,2019
서울특별시,용산구,8,2019
서울특별시,은평구,13,2019
서울특별시,종로구,8,2019
서울특별시,중구,10,2019
서울특별시,중랑구,10,2019
부산광역시,부산강서구,1,2019
부산광역시,부산금정구,3,2019
부산광역시,부산기장군,3,2019
부산광역시,부산남구,5,2019
부산광역시,부산동구,2,2019
부산광역시,부산동래구,5,2019
부산광역시,부산북구,5,2019
부산광역시,부산사상구,5,2019
부산광역시,부산사하구,4,2019
부산광역시,부산서구,2,2019
부산광역시,부산수영구,3,2019
부산광역시,부산연제구,4,2019
부산광역시,부산영도구,5,2019
부산광역시,부산중구,1,2019
부산광역시,부산진구,8,2019
부산광역시,부산해운대구,11,2019
대구광역시,대구남구,5,2019
대구광역시,대구달서구,22,2019
대구광역시,대구달성군,3,2019
대구광역시,대구동구,15,2019
대구광역시,대구북구,12,2019
대구광역시,대구서구,4,2019
대구광역시,대구수성구,18,2019
대구광역시,대구중구,12,2019
인천광역시,인천계양구,6,2019
인천광역시,인천남동구,10,2019
인천광역시,인천동구,2,2019
인천광역시,인천미추홀구,7,2019
인천광역시,인천부평구,15,2019
인천광역시,인천서구,11,2019
인천광역시,인천연수구,5,2019
