연도,시도,시군구,산부인과,SIGUNGU_CD
2023,서울특별시,강남구,52,11230
2023,서울특별시,강동구,18,11250
2023,서울특별시,강북구,6,11090
2023,서울특별시,강서구,19,11160
2023,서울특별시,관악구,23,11210
2023,서울특별시,광진구,12,11050
2023,서울특별시,구로구,12,11170
2023,서울특별시,금천구,10,11180
2023,서울특별시,노원구,18,11110
2023,서울특별시,도봉구,6,11100
2023,서울특별시,동대문구,15,11060
2023,서울특별시,동작구,9,11200
2023,서울특별시,마포구,23,11140
2023,서울특별시,서대문구,9,11130
2023,서울특별시,서초구,34,11220
2023,서울특별시,성동구,11,11040
2023,서울특별시,성북구,11,11080
2023,서울특별시,송파구,24,11240
2023,서울특별시,양천구,14,11150
2023,서울특별시,영등포구,17,11190
2023,서울특별시,용산구,8,11030
2023,서울특별시,은평구,12,11120
2023,서울특별시,종로구,11,11010
2023,서울특별시,중구,10,11020
2023,서울특별시,중랑구,10,11070
2023,부산광역시,부산강서구,1,21120
2023,부산광역시,부산금정구,6,21110
2023,부산광역시,부산기장군,3,21510
2023,부산광역시,부산남구,5,21070
2023,부산광역시,부산동구,1,21030
2023,부산광역시,부산동래구,6,21060
2023,부산광역시,부산북구,4,21080
2023,부산광역시,부산사상구,4,21150
2023,부산광역시,부산사하구,4,21100
2023,부산광역시,부산서구,2,21020
2023,부산광역시,부산수영구,3,21140
2023,부산광역시,부산연제구,5,21130
2023,부산광역시,부산영도구,5,21040
2023,부산광역시,부산중구,1,21010
2023,부산광역시,부산진구,8,21050
2023,부산광역시,부산해운대구,11,21090
2023,대구광역시,대구남구,5,22040
2023,대구광역시,대구달서구,18,22070
2023,대구광역시,대구달성군,4,22510
2023,대구광역시,대구동구,12,22020
2023,대구광역시,대구북구,13,22050
2023,대구광역시,대구서구,3,22030
2023,대구광역시,대구수성구,16,22060
2023,대구광역시,대구중구,7,22010
2023,인천광역시,인천계양구,7,23070
2023,인천광역시,인천남동구,10,23050
2023,인천광역시,인천동구,2,23020
2023,인천광역시,인천미추홀구,8,23090
2023,인천광역시,인천부평구,12,23060
2023,인천광역시,인천서구,12,23080
2023,인천광역시,인천연수구,6,23040
2023,인천광역시,인천중구,3,23010
2023,광주광역시,광주광산구,12,24050
2023,광주광역시,광주남구,2,24030
2023,광주광역시,광주동구,5,24010
2023,광주광역시,광주북구,9,24040
2023,광주광역시,광주서구,8,24020
2023,대전광역시,대전대덕구,5,25050
2023,대전광역시,대전동구,6,25010
2023,대전광역시,대전서구,17,25030
2023,대전광역시,대전유성구,7,25040
2023,대전광역시,대전중구,2,25020
2023,울산광역시,울산남구,15,26020
2023,울산광역시,울산동구,3,26030
2023,울산광역시,울산북구,4,26040
2023,울산광역시,울산울주군,3,26510
2023,울산광역시,울산중구,4,26010
2023,세종특별자치시,세종시,8,29010
2023,경기도,고양덕양구,13,31101
2023,경기도,고양일산동구,6,31103
2023,경기도,고양일산서구,6,31104
2023,경기도,과천시,2,31110
2023,경기도,광명시,10,31060
2023,경기도,광주시,7,31250
2023,경기도,구리시,6,31120
2023,경기도,군포시,4,31160
2023,경기도,김포시,10,31230
2023,경기도,남양주시,19,31130
2023,경기도,동두천시,3,31080
2023,경기도,성남분당구,19,31023
2023,경기도,성남수정구,10,31021
2023,경기도,성남중원구,6,31022
2023,경기도,수원권선구,1,31012
2023,경기도,수원영통구,9,31014
2023,경기도,수원장안구,4,31011
2023,경기도,수원팔달구,13,31013
2023,경기도,시흥시,15,31150
2023,경기도,안산단원구,12,31092
2023,경기도,안산상록구,4,31091
2023,경기도,안성시,3,31220
2023,경기도,안양동안구,14,31042
2023,경기도,안양만안구,4,31041
2023,경기도,양주시,3,31260
2023,경기도,양평군,1,31580
2023,경기도,여주시,2,31280
2023,경기도,오산시,3,31140
2023,경기도,용인기흥구,7,31192
2023,경기도,용인수지구,7,31193
2023,경기도,용인처인구,3,31191
2023,경기도,의왕시,1,31170
2023,경기도,의정부시,9,31030
2023,경기도,이천시,4,31210
2023,경기도,파주시,3,31200
2023,경기도,평택시,11,31070
2023,경기도,포천시,3,31270
2023,경기도,하남시,10,31180
2023,경기도,화성시,16,31240
2023,강원특별자치도,강릉시,8,32030
2023,강원특별자치도,동해시,2,32040
2023,강원특별자치도,삼척시,1,32070
2023,강원특별자치도,속초시,4,32060
2023,강원특별자치도,원주시,9,32020
2023,강원특별자치도,춘천시,7,32010
2023,강원특별자치도,태백시,1,32050
2023,강원특별자치도,홍천군,1,32510
2023,충청북도,보은군,1,33520
2023,충청북도,옥천군,1,33530
2023,충청북도,음성군,1,33570
2023,충청북도,제천시,7,33030
2023,충청북도,증평군,1,33590
2023,충청북도,진천군,1,33550
2023,충청북도,청주상당구,6,33041
2023,충청북도,청주서원구,3,33042
2023,충청북도,청주청원구,3,33044
2023,충청북도,청주흥덕구,8,33043
2023,충청북도,충주시,5,33020
2023,충청남도,계룡시,1,34070
2023,충청남도,공주시,4,34020
2023,충청남도,금산군,1,34510
2023,충청남도,논산시,3,34060
2023,충청남도,당진시,2,34080
2023,충청남도,보령시,2,34030
2023,충청남도,서산시,3,34050
2023,충청남도,서천군,1,34540
2023,충청남도,아산시,3,34040
2023,충청남도,예산군,1,34570
2023,충청남도,천안동남구,6,34011
2023,충청남도,천안서북구,12,34012
2023,충청남도,홍성군,3,34560
2023,전라북도,군산시,7,35020
2023,전라북도,김제시,2,35060
2023,전라북도,남원시,2,35050
2023,전라북도,부안군,1,35580
2023,전라북도,완주군,1,35510
2023,전라북도,익산시,11,35030
2023,전라북도,전주덕진구,12,35012
2023,전라북도,전주완산구,10,35011
2023,전라북도,정읍시,3,35040
2023,전라남도,고흥군,1,36550
2023,전라남도,나주시,3,36040
2023,전라남도,목포시,5,36010
2023,전라남도,순천시,4,36030
2023,전라남도,여수시,3,36020
2023,전라남도,장흥군,1,36580
2023,전라남도,해남군,1,36600
2023,전라남도,화순군,1,36570
2023,경상북도,경산시,9,37100
2023,경상북도,경주시,4,37020
2023,경상북도,구미시,14,37050
2023,경상북도,김천시,4,37030
2023,경상북도,문경시,3,37090
2023,경상북도,상주시,2,37080
2023,경상북도,안동시,3,37040
2023,경상북도,영주시,3,37060
2023,경상북도,영천시,1,37070
2023,경상북도,칠곡군,2,37590
2023,경상북도,포항남구,1,37011
2023,경상북도,포항북구,2,37012
2023,경상남도,거제시,2,38090
2023,경상남도,김해시,10,38070
2023,경상남도,남해군,1,38550
2023,경상남도,밀양시,2,38080
2023,경상남도,사천시,2,38060
2023,경상남도,양산시,6,38100
2023,경상남도,진주시,5,38030
2023,경상남도,창녕군,1,38530
2023,경상남도,창원마산합포구,6,38113
2023,경상남도,창원마산회원구,7,38114
2023,경상남도,창원성산구,3,38112
2023,경상남도,창원의창구,7,38111
2023,경상남도,창원진해구,2,38115
2023,경상남도,통영시,2,38050
2023,경상남도,함안군,1,38520
2023,제주특별자치도,서귀포시,5,39020
2023,제주특별자치도,제주시,15,39010
2023,경기도,부천시 원미구,18,31051
2023,경기도,부천시 소사구,18,31052
2023,경기도,부천시 오정구,18,31053
