시도명칭,시군구명칭,출생등록 수,시군구코드
강원특별자치도,강릉시,394,32030
강원특별자치도,고성군,28,32600
강원특별자치도,동해시,177,32040
강원특별자치도,삼척시,129,32070
강원특별자치도,속초시,135,32060
강원특별자치도,양구군,67,32580
강원특별자치도,양양군,38,32610
강원특별자치도,영월군,41,32530
강원특별자치도,원주시,888,32020
강원특별자치도,인제군,97,32590
강원특별자치도,정선군,32,32550
강원특별자치도,철원군,112,32560
강원특별자치도,춘천시,581,32010
강원특별자치도,태백시,48,32050
강원특별자치도,평창군,38,32540
강원특별자치도,홍천군,114,32510
강원특별자치도,화천군,60,32570
강원특별자치도,횡성군,51,32520
경기도,가평군,195,31570
경기도,고양시 덕양구,"2,840",31101
경기도,고양시 일산동구,"1,139",31103
경기도,고양시 일산서구,"1,184",31104
경기도,과천시,617,31110
경기도,광명시,"1,503",31060
경기도,광주시,"2,015",31250
경기도,구리시,826,31120
경기도,군포시,"1,434",31160
경기도,김포시,"2,867",31230
경기도,남양주시,"3,317",31130
경기도,동두천시,310,31080
경기도,부천시 소사구,"3,450",31052
경기도,부천시 오정구,"3,450",31053
경기도,부천시 원미구,"3,450",31051
경기도,성남시 분당구,"2,276",31023
경기도,성남시 수정구,"1,094",31021
경기도,성남시 중원구,"1,166",31022
경기도,수원시 권선구,"1,934",31012
경기도,수원시 영통구,"2,160",31014
경기도,수원시 장안구,980,31011
경기도,수원시 팔달구,960,31013
경기도,시흥시,"2,910",31150
경기도,안산시 단원구,"1,566",31092
경기도,안산시 상록구,"1,468",31091
경기도,안성시,742,31220
경기도,안양시 동안구,"1,845",31042
경기도,안양시 만안구,"1,319",31041
경기도,양주시,"1,421",31260
경기도,양평군,484,31580
경기도,여주시,422,31280
경기도,연천군,159,31550
경기도,오산시,"1,083",31140
경기도,용인시 기흥구,"2,027",31192
경기도,용인시 수지구,"1,969",31193
경기도,용인시 처인구,"1,116",31191
경기도,의왕시,866,31170
경기도,의정부시,"2,139",31030
경기도,이천시,"1,172",31210
경기도,파주시,"2,469",31200
경기도,평택시,"3,711",31070
경기도,포천시,533,31270
경기도,하남시,"2,070",31180
