번호,시도,시군구,운영주체,산후조리원,주소,전화번호,일반실,특실
1,서울,종로구,민간,올리비움산후조리원,서울시 종로구 통일로 16길 4-1,02-730-1717,470,2000
2,서울,종로구,민간,라솜산후조리원(창경궁점),"서울시 종로구 율곡로 174 2,3,4층",02-763-5400,420,520
3,서울,중구,민간,더드림산후조리원,"서울시 중구 다산로 36길11 6,7F",02-2231-6375,350,430
4,서울,중구,민간,레피리움산후조리원(용산마포점),중구중림로31 1층,02-6012-1010,400,
5,서울,용산구,민간,트리니티산후조리원,서울시 용산구 청파로20길 95 서울드레곤시티 39층,10-3579-5993,1300,1900
6,서울,성동구,민간,이든포레산후조리원,"성동구 고산자로6길 40, 6층",02-2291-1004,450,
7,서울,광진구,민간,예그리나산후조리원, 구의로 28 2층(구의동),02-457-6020,300,
8,서울,광진구,민간,광진아기맘미소산후조리원, 뚝섬로 503 3층(자양동),02-447-0065,320,
9,서울,광진구,민간,궁산후조리원(구의점), 자양로 192(구의동),02-453-0640,440,580
10,서울,동대문구,민간,마드레산후조리원,서울 동대문구 전농로 102,1599-3270,380,430
11,서울,동대문구,민간,린산후조리원,"답십리로268 해림빌딩 3,4층",02-2243-5353,320,420
12,서울,동대문구,민간,린아미에산후조리원,장한로119 삼성쉐르빌 2층,02-2246-2001,290,
13,서울,동대문구,민간,블리스산후조리원,동대문구 천호대로 317 (하늘병원9층),02-2212-2582,400,550
14,서울,동대문구,민간,베베리타산후조리원,"답십리로 269, 화성빌딩 7,8층",02-2213-5889,280,350
15,서울,동대문구,민간,삼육병원부속산후조리원,동대문구 망우로 82,02-2210-3399,250,306
16,서울,중랑구,민간,아이맘-s산후조리원,서울시 중랑구 망우로 411 3층,02-495-0123,310,330
17,서울,중랑구,민간,뉴이자르산후조리원,"서울시 중랑구 중랑역로 257, 5층",02-972-0808,290,350
18,서울,중랑구,민간,궁산후조리원(신내점),서울시 중랑구 신내로16길 76,02-3421-5553,440,600
19,서울,성북구,민간,라솜산후조리원(성북지점),서울특별시 성북구 동소문로 48. 3층,02-922-1400,390,
20,서울,성북구,민간,마리아산후조리원,서울특별시 성북구 화랑로 248. 8층,02-2088-7387,300,
21,서울,강북구,민간,햇빛병원부설 햇빛산후조리원,서울특별시 강북구 도봉로 131,02-996-1511,440,550
22,서울,강북구,민간,맘스텔라산후조리원,"서울특별시 강북구 도봉로 136, 7층",02-985-3542,310,
23,서울,도봉구,민간,에이치큐브산후조리원,"서울특별시 도봉구 도봉로 604(창동) 에이치큐브병원 7, 8층",02-995-8000,420,490
24,서울,도봉구,민간,마미캠프산후조리원,서울특별시 도봉구 해등로 125(창동) 한영빌딩 2층,02-973-0500,300,
25,서울,도봉구,민간,소중한맘산후조리원,"서울특별실 도봉구 도봉로 575, 7층",02-903-0033,310,
26,서울,노원구,민간,제이미산후조리원,"서울특별시 수락산로 232, 3층(상계동, 미네르바빌딩)",02-935-7979,280,
27,서울,노원구,민간,노원라테라산후조리원,서울특별시 상계로7길 17(상계동),02-951-2300,370,
28,서울,노원구,민간,와이엘산후조리원,"서울특별시 초안산로5길 12, 5층(월계동, 월계프라자)",02-904-8034,310,
29,서울,노원구,민간,모아드림산후조리원,"서울특별시 상계로5길 9(상계동, 호영빌딩)",02-937-7777,290,320
30,서울,노원구,민간,더블레스산후조리원,"서울특별시 노원로 240(하계동, 백경빌딩)",02-949-2223,390,450
31,서울,은평구,민간,인정산후조리원,서울시 응암로 164,02-2187-1430,290,390
32,서울,은평구,민간,더은혜산후조리원,서울시 진흥로 133,02-388-5638,290,310
33,서울,은평구,민간,아이젤산후조리원,서울시 서오릉로 82,02-355-0069,280,
34,서울,은평구,민간,라크렘산후조리원,서울시 서오릉로 145,02-356-5422,250,380
35,서울,은평구,민간,레피리움산후조리원,서울시 통일로 856,02-6941-1231,450,
36,서울,은평구,민간,라솜산후조리원,서울시 응암로 235,02-6010-0702,300,340
37,서울,서대문구,민간,제이산후조리원,서울특별시 서대문구 통일로 442,02-2153-7788,315,378
38,서울,서대문구,민간,레피리움네이처산후조리원(서대문점),"서울특별시 서대문구 신촌역로 10, 6층",02-362-7500,390,420
39,서울,서대문구,지자체,서대문구공공산후조리원 품애가득,서울특별시 서대문구 증가로30길 45 ,02-3210-1050,250,
40,서울,마포구,민간,레피리움시그니처산후조리원(홍대점),서울특별시 마포구 월드컵북로 137,02-3142-3003,390,420
41,서울,마포구,민간,아이린산후조리원(망원점),서울특별시 마포구 월드컵로 155,02-3142-1212,280,300
42,서울,마포구,민간,라펠리체산후조리원,서울특별시 마포구 월드컵북로 497,02-306-2617,440,520
43,서울,양천구,민간,보네르아샤산후조리원(강서점),서울특별시 양천구 화곡로 64 동화빌딩 2층,02-2698-3588,340,
44,서울,양천구,민간,뉴이자르산후조리원(목동점),서울특별시 양천구 목동중앙남로3가길 127 상진지오밸리 2층,02-2061-6001,370,450
45,서울,양천구,민간,퀸즈마리산후조리원,서울특별시 양천구 은행정로 5 에벤에셀프라자 5층,02-2647-0100,330,
46,서울,양천구,민간,밝은미래산후조리원,서울특별시 양천구 남부순환로 654 10층,02-2612-1000,290,
47,서울,양천구,민간,팰리스산후조리원,서울특별시 양천구 신월로 164 승일뷰티타워 7층,02-2601-3588,380,480
48,서울,양천구,민간,레피리움시그니쳐산후조리원(목동점),서울특별시 양천구 오목로 325 대학빌딩 6층,02-6491-1001,500,
49,서울,양천구,민간,포미즈타임산후조리원,서울특별시 양천구 공항대로 610,02-2651-7500,370,550
50,서울,양천구,민간,목동제일산후조리원,서울특별시 양천구 중앙로 300 시온빌딩 6~8층,02-6927-3649,280,300
