번호,시도,시군구,산후조리원,주소,전화번호,일반실,특실
1,서울,종로구,첫단추(창경궁점),서울특별시 종로구 원남동 28-7 창경빌딩 2~4층,02-763-5400,410,460
2,서울,종로구,올리비움,서울특별시 종로구 통일로 16길 4-1,02-738-3335,470,2000
3,서울,중구,더드림 산후조리원,"서울특별시 서울시 중구 다산로36길 11 6,7층",02-2231-6375,280,330
4,서울,중구,와이케이 동그라미 레피리움 산후조리원,"서울특별시 서울시 중구 중림로31, 이화빌딩 1층",02-6012-1010,450,450
5,서울,성동구,㈜와이케이 동그라미 산후조리원 행당점,서울특별시 성동구 고산자로 6길 40 6층,02-6409-1003,450,0
6,서울,광진구,광진아기맘미소,"서울특별시 광진구 뚝섬로 503, 3층(자양동)",02-447-0065,300,0
7,서울,광진구,르베르쏘,서울특별시 광진구 구의로 28 2층(구의동),02-457-6020,220,0
8,서울,광진구,(주)궁 구의점,서울특별시 광진구 자양로 192 1~5층(구의동),02-453-0640,480,580
9,서울,동대문구,린아미에산후조리원,"서울특별시 동대문구 장한로 119 (장안동,삼성쉐르빌2층)",02-2246-2001,250,0
10,서울,동대문구,삼육서울병원부설산후조리원,"서울특별시 동대문구 망우로 82, B1,1,2층 (휘경동)",2210-3366,230,286
11,서울,동대문구,린산후조리원,"서울특별시 동대문구 답십리로 266 (장안동,8층,9층)",02-2243-5353,380,450
12,서울,동대문구,베베리타산후조리원,"서울특별시 동대문구 답십리로 269, 7,8층 (장안동)",02-2213-5889,250,270
13,서울,동대문구,마드레산후조리원,"서울특별시 동대문구 전농로 102, 4층 (답십리동)",02-1599-3270,290,320
14,서울,동대문구,레피리움산후조리원장안점,"서울특별시 동대문구 한천로46길 42, 2층(장안동, 예신프라자)",02-6085-1110,390,0
15,서울,동대문구,맘스터치산후조리원,"서울특별시 동대문구 천호대로 317, 9층(답십리동, 하늘병원)",02-2212-2582,290,0
16,서울,중랑구,아이맘-S 산후조리원,서울 중랑구 망우로 411,02-495-0123,260,280
17,서울,중랑구,이제 산후조리원,서울 중랑구 신내로25가길 2 현동학당 206,02-973-0500,210,0
18,서울,중랑구,이자르(태릉노블점),서울 중랑구 중랑역로 257 신흥빌딩 4층,02-972-7667,250,300
19,서울,중랑구,궁 (신내점),"서울 중랑구 신내로 16길 76 3,4,5층",02-3421-5553,430,510
20,서울,성북구,루시나산후조리원,"서울특별시 성북구 보문로 180. 6,7층",02-922-4652,300,0
21,서울,성북구,동그라미산후조리원성북점,서울특별시 성북구 화랑로 248. 8층,02-2039-0000,270,0
22,서울,성북구,첫단추산후조리원성북점,서울특별시 성북구 동소문로 48. 3층,02-922-1400,270,298
