진료년도,시도,시군구,연령구분,청구건수
2024,서울,강남구,19세 이하,3 
2024,서울,강남구,20~29세,524 
2024,서울,강남구,30~39세,7241 
2024,서울,강남구,40~49세,827 
2024,서울,강남구,50세 이상,5 
2024,서울,강동구,19세 이하,2 
2024,서울,강동구,20~29세,407 
2024,서울,강동구,30~39세,3060 
2024,서울,강동구,40~49세,221 
2024,서울,강동구,50세 이상,0 
2024,서울,강서구,19세 이하,4 
2024,서울,강서구,20~29세,430 
2024,서울,강서구,30~39세,3840 
2024,서울,강서구,40~49세,345 
2024,서울,강서구,50세 이상,0 
2024,서울,관악구,19세 이하,2 
2024,서울,관악구,20~29세,110 
2024,서울,관악구,30~39세,535 
2024,서울,관악구,40~49세,41 
2024,서울,관악구,50세 이상,0 
2024,서울,구로구,19세 이하,3 
2024,서울,구로구,20~29세,295 
2024,서울,구로구,30~39세,2464 
2024,서울,구로구,40~49세,207 
2024,서울,구로구,50세 이상,1 
2024,서울,도봉구,19세 이하,1 
2024,서울,도봉구,20~29세,212 
2024,서울,도봉구,30~39세,1112 
2024,서울,도봉구,40~49세,71 
2024,서울,도봉구,50세 이상,0 
2024,서울,동대문구,19세 이하,1 
2024,서울,동대문구,20~29세,170 
2024,서울,동대문구,30~39세,1002 
2024,서울,동대문구,40~49세,80 
2024,서울,동대문구,50세 이상,0 
2024,서울,동작구,19세 이하,1 
2024,서울,동작구,20~29세,232 
2024,서울,동작구,30~39세,1629 
2024,서울,동작구,40~49세,157 
2024,서울,동작구,50세 이상,0 
2024,서울,마포구,19세 이하,0 
2024,서울,마포구,20~29세,48 
2024,서울,마포구,30~39세,390 
2024,서울,마포구,40~49세,16 
2024,서울,마포구,50세 이상,0 
2024,서울,서대문구,19세 이하,0 
2024,서울,서대문구,20~29세,133 
2024,서울,서대문구,30~39세,1660 
2024,서울,서대문구,40~49세,231 
2024,서울,서대문구,50세 이상,0 
2024,서울,성동구,19세 이하,0 
2024,서울,성동구,20~29세,14 
2024,서울,성동구,30~39세,108 
2024,서울,성동구,40~49세,16 
2024,서울,성동구,50세 이상,0 
2024,서울,성북구,19세 이하,1 
2024,서울,성북구,20~29세,162 
2024,서울,성북구,30~39세,950 
2024,서울,성북구,40~49세,111 
2024,서울,성북구,50세 이상,0 
2024,서울,영등포구,19세 이하,4 
2024,서울,영등포구,20~29세,85 
2024,서울,영등포구,30~39세,601 
2024,서울,영등포구,40~49세,65 
2024,서울,영등포구,50세 이상,0 
2024,서울,용산구,19세 이하,0 
2024,서울,용산구,20~29세,34 
2024,서울,용산구,30~39세,199 
2024,서울,용산구,40~49세,30 
2024,서울,용산구,50세 이상,0 
2024,서울,은평구,19세 이하,5 
2024,서울,은평구,20~29세,311 
2024,서울,은평구,30~39세,2087 
2024,서울,은평구,40~49세,191 
2024,서울,은평구,50세 이상,0 
2024,서울,종로구,19세 이하,2 
2024,서울,종로구,20~29세,111 
2024,서울,종로구,30~39세,1375 
2024,서울,종로구,40~49세,190 
2024,서울,종로구,50세 이상,0 
2024,서울,중구,19세 이하,1 
2024,서울,중구,20~29세,11 
2024,서울,중구,30~39세,39 
2024,서울,중구,40~49세,0 
2024,서울,중구,50세 이상,0 
2024,서울,송파구,19세 이하,6 
2024,서울,송파구,20~29세,409 
2024,서울,송파구,30~39세,3900 
2024,서울,송파구,40~49세,416 
2024,서울,송파구,50세 이상,1 
2024,서울,중랑구,19세 이하,3 
2024,서울,중랑구,20~29세,162 
2024,서울,중랑구,30~39세,857 
2024,서울,중랑구,40~49세,69 
2024,서울,중랑구,50세 이상,0 
2024,서울,양천구,19세 이하,3 
2024,서울,양천구,20~29세,191 
2024,서울,양천구,30~39세,1252 
2024,서울,양천구,40~49세,124 
2024,서울,양천구,50세 이상,1 
2024,서울,서초구,19세 이하,1 
2024,서울,서초구,20~29세,93 
