"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"강원특별자치도  (5100000000)","1,509,064","1,509,064","81,375","125,582","148,990","158,338","195,749","258,272","279,377","158,166","88,160","14,615","440","758,837","758,837","41,597","64,835","83,473","85,148","99,759","133,084","140,113","74,546","32,880","3,302","100","750,227","750,227","39,778","60,747","65,517","73,190","95,990","125,188","139,264","83,620","55,280","11,313","340"
"강원특별자치도 춘천시 (5111000000)","285,140","285,140","17,303","25,699","35,175","34,746","38,768","46,395","45,282","24,625","14,561","2,522","64","140,504","140,504","8,784","13,209","18,815","18,148","19,209","23,089","21,994","11,234","5,398","602","22","144,636","144,636","8,519","12,490","16,360","16,598","19,559","23,306","23,288","13,391","9,163","1,920","42"
"강원특별자치도 원주시 (5113000000)","362,996","362,996","23,709","34,432","38,960","46,805","53,762","62,527","57,778","27,543","14,793","2,627","60","179,795","179,795","12,112","17,586","20,797","24,192","26,690","30,903","28,561","12,867","5,498","574","15","183,201","183,201","11,597","16,846","18,163","22,613","27,072","31,624","29,217","14,676","9,295","2,053","45"
"강원특별자치도 강릉시 (5115000000)","206,780","206,780","10,276","16,674","20,350","20,494","27,443","36,582","37,338","22,886","12,541","2,129","67","102,435","102,435","5,357","8,747","11,188","11,014","13,825","18,680","18,025","10,413","4,673","505","8","104,345","104,345","4,919","7,927","9,162","9,480","13,618","17,902","19,313","12,473","7,868","1,624","59"
"강원특별자치도 동해시 (5117000000)","86,575","86,575","4,706","7,878","7,642","8,100","11,997","15,989","15,235","9,428","4,865","717","18","43,951","43,951","2,403","4,108","4,494","4,516","6,142","8,394","7,495","4,374","1,865","158","2","42,624","42,624","2,303","3,770","3,148","3,584","5,855","7,595","7,740","5,054","3,000","559","16"
"강원특별자치도 태백시 (5119000000)","37,305","37,305","1,513","3,207","2,672","2,691","4,938","6,728","7,397","5,242","2,586","321","10","18,846","18,846","776","1,673","1,551","1,497","2,573","3,685","3,776","2,310","940","63","2","18,459","18,459","737","1,534","1,121","1,194","2,365","3,043","3,621","2,932","1,646","258","8"
"강원특별자치도 속초시 (5121000000)","79,827","79,827","4,291","6,611","6,940","8,648","10,827","14,537","15,001","8,269","4,038","645","20","39,452","39,452","2,233","3,306","3,881","4,784","5,481","7,167","7,205","3,762","1,468","160","5","40,375","40,375","2,058","3,305","3,059","3,864","5,346","7,370","7,796","4,507","2,570","485","15"
"강원특별자치도 삼척시 (5123000000)","60,819","60,819","2,748","4,559","6,023","4,687","6,963","10,572","12,126","7,737","4,542","839","23","31,036","31,036","1,398","2,361","3,474","2,558","3,716","5,937","6,160","3,668","1,570","192","2","29,783","29,783","1,350","2,198","2,549","2,129","3,247","4,635","5,966","4,069","2,972","647","21"
"강원특별자치도 홍천군 (5172000000)","66,209","66,209","2,804","4,352","4,899","5,440","6,782","10,837","16,076","9,110","4,950","923","36","34,130","34,130","1,432","2,190","2,913","3,101","3,565","5,765","8,389","4,682","1,894","187","12","32,079","32,079","1,372","2,162","1,986","2,339","3,217","5,072","7,687","4,428","3,056","736","24"
"강원특별자치도 횡성군 (5173000000)","45,759","45,759","1,583","3,254","2,850","2,852","4,272","7,556","12,049","6,885","3,779","663","16","23,601","23,601","827","1,721","1,628","1,570","2,328","4,016","6,290","3,579","1,510","131","1","22,158","22,158","756","1,533","1,222","1,282","1,944","3,540","5,759","3,306","2,269","532","15"
"강원특별자치도 영월군 (5175000000)","36,249","36,249","1,191","2,439","2,435","2,291","3,639","6,378","8,825","5,473","3,083","483","12","18,805","18,805","627","1,333","1,429","1,268","1,925","3,513","4,737","2,710","1,147","112","4","17,444","17,444","564","1,106","1,006","1,023","1,714","2,865","4,088","2,763","1,936","371","8"
"강원특별자치도 평창군 (5176000000)","39,846","39,846","1,207","2,494","2,665","2,543","4,077","7,264","10,067","5,900","3,170","443","16","20,676","20,676","580","1,313","1,624","1,436","2,184","3,913","5,329","2,933","1,262","100","2","19,170","19,170","627","1,181","1,041","1,107","1,893","3,351","4,738","2,967","1,908","343","14"
"강원특별자치도 정선군 (5177000000)","33,609","33,609","1,071","2,097","2,133","2,155","3,775","6,251","8,141","4,909","2,673","381","23","17,579","17,579","527","1,074","1,240","1,239","2,128","3,604","4,333","2,358","981","89","6","16,030","16,030","544","1,023","893","916","1,647","2,647","3,808","2,551","1,692","292","17"
"강원특별자치도 철원군 (5178000000)","39,991","39,991","2,289","3,075","3,976","4,135","4,451","6,374","7,613","4,673","3,006","385","14","20,627","20,627","1,155","1,594","2,518","2,374","2,328","3,409","3,919","2,129","1,106","93","2","19,364","19,364","1,134","1,481","1,458","1,761","2,123","2,965","3,694","2,544","1,900","292","12"
"강원특별자치도 화천군 (5179000000)","22,433","22,433","1,228","1,597","2,718","2,426","2,234","3,390","4,445","2,469","1,644","264","18","12,030","12,030","611","812","1,798","1,477","1,219","1,793","2,414","1,224","612","62","8","10,403","10,403","617","785","920","949","1,015","1,597","2,031","1,245","1,032","202","10"
"강원특별자치도 양구군 (5180000000)","20,468","20,468","1,244","1,829","2,135","2,212","2,261","3,053","4,028","2,102","1,381","220","3","10,753","10,753","616","946","1,375","1,271","1,193","1,627","2,136","1,026","519","44","0","9,715","9,715","628","883","760","941","1,068","1,426","1,892","1,076","862","176","3"
"강원특별자치도 인제군 (5181000000)","30,927","30,927","1,967","2,136","3,344","3,756","3,685","4,628","6,149","3,118","1,828","304","12","16,916","16,916","1,032","1,115","2,273","2,255","2,026","2,592","3,268","1,588","706","59","2","14,011","14,011","935","1,021","1,071","1,501","1,659","2,036","2,881","1,530","1,122","245","10"
"강원특별자치도 고성군 (5182000000)","26,800","26,800","1,171","1,580","2,218","2,350","2,733","4,518","5,799","3,723","2,326","370","12","13,724","13,724","587","845","1,376","1,330","1,500","2,465","2,980","1,729","827","83","2","13,076","13,076","584","735","842","1,020","1,233","2,053","2,819","1,994","1,499","287","10"
"강원특별자치도 양양군 (5183000000)","27,331","27,331","1,074","1,669","1,855","2,007","3,142","4,693","6,028","4,074","2,394","379","16","13,977","13,977","540","902","1,099","1,118","1,727","2,532","3,102","1,960","904","88","5","13,354","13,354","534","767","756","889","1,415","2,161","2,926","2,114","1,490","291","11"
