"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"경기도  (4100000000)","13,724,652","13,724,652","896,109","1,327,267","1,570,369","1,920,159","2,187,644","2,358,528","1,955,281","974,855","455,022","77,348","2,070","6,893,167","6,893,167","458,782","678,558","821,527","1,006,220","1,116,730","1,186,248","976,051","454,351","174,661","19,623","416","6,831,485","6,831,485","437,327","648,709","748,842","913,939","1,070,914","1,172,280","979,230","520,504","280,361","57,725","1,654"
"경기도 수원시 (4111000000)","1,187,977","1,187,977","73,263","110,985","163,827","187,271","185,538","200,731","156,690","71,773","32,372","5,368","159","596,790","596,790","37,728","57,257","85,097","99,450","94,108","99,163","77,853","32,739","12,039","1,330","26","591,187","591,187","35,535","53,728","78,730","87,821","91,430","101,568","78,837","39,034","20,333","4,038","133"
"경기도 수원시 장안구 (4111100000)","271,552","271,552","13,874","25,262","38,290","35,403","38,780","49,571","39,867","19,180","9,628","1,651","46","136,094","136,094","7,009","13,081","20,841","18,887","19,373","24,371","19,893","8,625","3,601","407","6","135,458","135,458","6,865","12,181","17,449","16,516","19,407","25,200","19,974","10,555","6,027","1,244","40"
"경기도 수원시 권선구 (4111300000)","361,215","361,215","21,437","31,789","45,621","57,435","56,460","61,341","52,382","23,391","9,717","1,598","44","182,262","182,262","11,132","16,318","23,386","30,983","29,423","30,188","25,928","10,890","3,605","402","7","178,953","178,953","10,305","15,471","22,235","26,452","27,037","31,153","26,454","12,501","6,112","1,196","37"
"경기도 수원시 팔달구 (4111500000)","192,391","192,391","10,497","13,088","28,242","32,076","26,680","31,917","27,509","14,648","6,702","996","36","96,715","96,715","5,436","6,742","14,249","17,373","13,959","16,069","13,532","6,574","2,512","264","5","95,676","95,676","5,061","6,346","13,993","14,703","12,721","15,848","13,977","8,074","4,190","732","31"
"경기도 수원시 영통구 (4111700000)","362,819","362,819","27,455","40,846","51,674","62,357","63,618","57,902","36,932","14,554","6,325","1,123","33","181,719","181,719","14,151","21,116","26,621","32,207","31,353","28,535","18,500","6,650","2,321","257","8","181,100","181,100","13,304","19,730","25,053","30,150","32,265","29,367","18,432","7,904","4,004","866","25"
"경기도 성남시 (4113000000)","906,754","906,754","54,458","81,195","106,692","134,314","141,148","151,296","129,913","70,457","31,638","5,488","155","448,029","448,029","27,783","41,432","54,337","69,314","70,101","75,145","63,356","32,444","12,651","1,428","38","458,725","458,725","26,675","39,763","52,355","65,000","71,047","76,151","66,557","38,013","18,987","4,060","117"
"경기도 성남시 수정구 (4113100000)","232,658","232,658","12,791","15,964","28,354","35,519","33,910","38,373","37,130","20,986","8,403","1,196","32","117,614","117,614","6,504","8,064","14,878","19,039","17,921","19,753","18,280","9,633","3,259","277","6","115,044","115,044","6,287","7,900","13,476","16,480","15,989","18,620","18,850","11,353","5,144","919","26"
"경기도 성남시 중원구 (4113300000)","204,356","204,356","10,456","13,996","24,122","31,331","29,184","34,012","34,081","18,451","7,645","1,036","42","102,868","102,868","5,274","7,235","12,389","16,942","15,352","17,264","16,698","8,520","2,953","232","9","101,488","101,488","5,182","6,761","11,733","14,389","13,832","16,748","17,383","9,931","4,692","804","33"
"경기도 성남시 분당구 (4113500000)","469,740","469,740","31,211","51,235","54,216","67,464","78,054","78,911","58,702","31,020","15,590","3,256","81","227,547","227,547","16,005","26,133","27,070","33,333","36,828","38,128","28,378","14,291","6,439","919","23","242,193","242,193","15,206","25,102","27,146","34,131","41,226","40,783","30,324","16,729","9,151","2,337","58"
