"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"경상남도  (4800000000)","3,209,853","3,209,853","181,195","314,353","291,186","343,234","478,234","580,334","545,328","305,694","144,821","24,969","505","1,618,503","1,618,503","93,173","162,896","164,491","183,951","246,260","296,748","273,345","143,045","49,572","4,963","59","1,591,350","1,591,350","88,022","151,457","126,695","159,283","231,974","283,586","271,983","162,649","95,249","20,006","446"
"경상남도 창원시 (4812000000)","992,428","992,428","57,925","95,507","99,189","119,138","151,992","177,686","166,320","86,304","33,252","5,028","87","502,109","502,109","29,596","49,498","56,328","64,415","78,408","88,352","81,608","40,643","12,217","1,034","10","490,319","490,319","28,329","46,009","42,861","54,723","73,584","89,334","84,712","45,661","21,035","3,994","77"
"경상남도 창원시 의창구 (4812100000)","207,991","207,991","12,275","19,006","21,546","25,460","30,878","38,115","36,651","16,910","6,140","991","19","105,727","105,727","6,229","9,812","12,216","13,779","15,938","18,693","18,439","8,242","2,190","186","3","102,264","102,264","6,046","9,194","9,330","11,681","14,940","19,422","18,212","8,668","3,950","805","16"
"경상남도 창원시 성산구 (4812300000)","245,661","245,661","15,658","23,895","28,523","35,888","36,821","46,897","39,847","13,258","4,128","733","13","125,317","125,317","7,960","12,390","16,276","19,540","18,541","22,056","20,251","6,666","1,505","131","1","120,344","120,344","7,698","11,505","12,247","16,348","18,280","24,841","19,596","6,592","2,623","602","12"
"경상남도 창원시 마산합포구 (4812500000)","176,229","176,229","9,672","15,203","15,246","18,664","25,917","28,396","31,566","21,113","9,060","1,364","28","87,304","87,304","4,982","7,808","8,540","9,866","13,633","14,454","14,859","9,588","3,276","294","4","88,925","88,925","4,690","7,395","6,706","8,798","12,284","13,942","16,707","11,525","5,784","1,070","24"
"경상남도 창원시 마산회원구 (4812700000)","177,205","177,205","8,665","16,375","16,229","18,397","25,711","32,188","31,824","19,574","7,323","909","10","88,171","88,171","4,425","8,561","8,969","9,800","13,233","16,123","15,103","8,938","2,830","188","1","89,034","89,034","4,240","7,814","7,260","8,597","12,478","16,065","16,721","10,636","4,493","721","9"
"경상남도 창원시 진해구 (4812900000)","185,342","185,342","11,655","21,028","17,645","20,729","32,665","32,090","26,432","15,449","6,601","1,031","17","95,590","95,590","6,000","10,927","10,327","11,430","17,063","17,026","12,956","7,209","2,416","235","1","89,752","89,752","5,655","10,101","7,318","9,299","15,602","15,064","13,476","8,240","4,185","796","16"
"경상남도 진주시 (4817000000)","336,784","336,784","20,751","33,519","37,956","39,271","47,559","57,431","52,004","30,948","14,805","2,478","62","166,430","166,430","10,698","17,464","20,922","20,850","23,466","28,541","25,010","13,861","5,131","478","9","170,354","170,354","10,053","16,055","17,034","18,421","24,093","28,890","26,994","17,087","9,674","2,000","53"
"경상남도 통영시 (4822000000)","116,924","116,924","5,014","12,226","8,640","8,945","17,677","21,754","22,202","13,624","5,953","877","12","58,743","58,743","2,541","6,250","4,943","4,672","9,240","11,559","10,908","6,406","2,055","167","2","58,181","58,181","2,473","5,976","3,697","4,273","8,437","10,195","11,294","7,218","3,898","710","10"
"경상남도 사천시 (4824000000)","108,038","108,038","5,396","10,112","8,918","10,343","15,414","19,489","18,315","12,302","6,590","1,141","18","54,864","54,864","2,826","5,253","5,398","5,904","8,035","10,363","9,120","5,583","2,157","225","0","53,174","53,174","2,570","4,859","3,520","4,439","7,379","9,126","9,195","6,719","4,433","916","18"
