"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"경상북도  (4700000000)","2,510,859","2,510,859","130,436","215,214","223,398","253,405","334,626","435,459","460,227","281,801","148,620","27,092","581","1,270,741","1,270,741","67,005","112,553","127,968","139,584","174,787","225,933","233,269","132,446","51,215","5,911","70","1,240,118","1,240,118","63,431","102,661","95,430","113,821","159,839","209,526","226,958","149,355","97,405","21,181","511"
"경상북도 포항시 (4711000000)","488,963","488,963","28,520","45,974","44,837","54,105","70,617","84,951","87,001","50,232","19,733","2,933","60","248,002","248,002","14,832","23,898","26,119","30,087","36,124","42,747","42,187","24,194","7,217","590","7","240,961","240,961","13,688","22,076","18,718","24,018","34,493","42,204","44,814","26,038","12,516","2,343","53"
"경상북도 포항시 남구 (4711100000)","216,338","216,338","11,420","20,256","20,401","22,535","31,633","37,799","38,827","23,317","8,913","1,213","24","112,260","112,260","5,921","10,558","12,418","12,890","16,678","19,867","19,025","11,311","3,358","232","2","104,078","104,078","5,499","9,698","7,983","9,645","14,955","17,932","19,802","12,006","5,555","981","22"
"경상북도 포항시 북구 (4711300000)","272,625","272,625","17,100","25,718","24,436","31,570","38,984","47,152","48,174","26,915","10,820","1,720","36","135,742","135,742","8,911","13,340","13,701","17,197","19,446","22,880","23,162","12,883","3,859","358","5","136,883","136,883","8,189","12,378","10,735","14,373","19,538","24,272","25,012","14,032","6,961","1,362","31"
"경상북도 경주시 (4713000000)","244,345","244,345","11,697","18,904","20,498","23,151","30,502","45,193","47,568","29,126","15,026","2,626","54","122,302","122,302","6,038","9,762","11,533","12,678","15,921","23,218","23,968","13,482","5,135","560","7","122,043","122,043","5,659","9,142","8,965","10,473","14,581","21,975","23,600","15,644","9,891","2,066","47"
"경상북도 김천시 (4715000000)","134,247","134,247","7,417","11,997","10,781","13,110","17,302","22,566","24,784","15,894","8,637","1,725","34","67,633","67,633","3,845","6,540","6,085","7,172","9,040","11,665","12,600","7,384","2,900","397","5","66,614","66,614","3,572","5,457","4,696","5,938","8,262","10,901","12,184","8,510","5,737","1,328","29"
"경상북도 안동시 (4717000000)","153,131","153,131","7,363","13,045","15,478","14,103","18,729","25,520","27,520","18,586","10,775","1,965","47","75,856","75,856","3,794","6,871","8,372","7,590","9,531","13,293","13,683","8,493","3,785","438","6","77,275","77,275","3,569","6,174","7,106","6,513","9,198","12,227","13,837","10,093","6,990","1,527","41"
"경상북도 구미시 (4719000000)","404,135","404,135","27,988","44,514","44,501","57,976","69,936","71,728","54,210","22,042","9,398","1,798","44","208,859","208,859","14,340","23,153","26,071","31,689","36,060","35,687","28,002","10,387","3,082","384","4","195,276","195,276","13,648","21,361","18,430","26,287","33,876","36,041","26,208","11,655","6,316","1,414","40"
"경상북도 영주시 (4721000000)","97,433","97,433","4,160","8,474","8,059","7,411","11,093","16,681","18,940","13,515","7,664","1,401","35","48,454","48,454","2,146","4,571","4,619","4,114","5,678","8,690","9,356","6,185","2,759","333","3","48,979","48,979","2,014","3,903","3,440","3,297","5,415","7,991","9,584","7,330","4,905","1,068","32"
"경상북도 영천시 (4723000000)","95,730","95,730","4,206","5,962","6,587","7,899","10,257","16,744","20,709","14,275","7,770","1,305","16","48,988","48,988","2,167","3,146","3,888","4,341","5,705","9,095","10,837","6,839","2,667","299","4","46,742","46,742","2,039","2,816","2,699","3,558","4,552","7,649","9,872","7,436","5,103","1,006","12"
