"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"대구광역시  (2700000000)","2,355,677","2,355,677","135,424","212,954","256,180","284,958","337,270","413,599","378,490","219,375","101,794","15,345","288","1,154,160","1,154,160","69,555","109,304","134,226","152,038","168,031","201,803","180,900","97,220","37,271","3,767","45","1,201,517","1,201,517","65,869","103,650","121,954","132,920","169,239","211,796","197,590","122,155","64,523","11,578","243"
"대구광역시 중구 (2711000000)","100,833","100,833","8,201","7,441","13,555","18,171","14,885","14,207","11,485","7,940","4,280","645","23","48,213","48,213","4,193","3,668","6,174","9,235","7,609","6,925","5,357","3,281","1,581","186","4","52,620","52,620","4,008","3,773","7,381","8,936","7,276","7,282","6,128","4,659","2,699","459","19"
"대구광역시 동구 (2714000000)","339,631","339,631","19,381","25,942","34,151","44,236","46,932","56,245","56,440","36,553","17,253","2,443","55","165,906","165,906","9,954","13,440","17,806","23,673","24,046","27,635","26,339","15,994","6,403","606","10","173,725","173,725","9,427","12,502","16,345","20,563","22,886","28,610","30,101","20,559","10,850","1,837","45"
"대구광역시 서구 (2717000000)","163,395","163,395","6,875","9,633","14,804","19,467","19,448","28,765","33,460","20,608","9,130","1,184","21","80,903","80,903","3,567","4,836","7,882","10,962","10,459","14,630","16,073","8,932","3,313","248","1","82,492","82,492","3,308","4,797","6,922","8,505","8,989","14,135","17,387","11,676","5,817","936","20"
"대구광역시 남구 (2720000000)","135,692","135,692","5,133","8,070","16,037","16,503","16,639","22,719","23,741","16,797","8,641","1,386","26","64,561","64,561","2,675","4,124","7,659","8,900","8,374","11,299","10,887","7,155","3,124","362","2","71,131","71,131","2,458","3,946","8,378","7,603","8,265","11,420","12,854","9,642","5,517","1,024","24"
"대구광역시 북구 (2723000000)","410,934","410,934","22,268","37,702","51,370","48,363","57,469","76,809","64,275","34,226","16,090","2,316","46","203,316","203,316","11,413","19,317","27,474","26,194","28,629","37,679","31,198","15,131","5,739","535","7","207,618","207,618","10,855","18,385","23,896","22,169","28,840","39,130","33,077","19,095","10,351","1,781","39"
"대구광역시 수성구 (2726000000)","409,491","409,491","24,521","47,389","43,226","42,321","63,525","74,447","59,228","34,946","16,997","2,848","43","196,740","196,740","12,641","24,639","22,953","21,354","29,511","35,075","27,918","15,359","6,490","794","6","212,751","212,751","11,880","22,750","20,273","20,967","34,014","39,372","31,310","19,587","10,507","2,054","37"
"대구광역시 달서구 (2729000000)","518,434","518,434","27,763","48,900","59,637","61,178","72,925","95,341","86,143","44,870","18,913","2,720","44","253,743","253,743","14,313","24,887","31,192","32,997","35,846","45,573","41,172","20,204","6,896","651","12","264,691","264,691","13,450","24,013","28,445","28,181","37,079","49,768","44,971","24,666","12,017","2,069","32"
"대구광역시 달성군 (2771000000)","254,935","254,935","20,843","27,059","22,495","33,602","43,824","41,530","37,516","19,026","7,745","1,269","26","129,166","129,166","10,552","13,941","12,552","18,062","22,623","20,958","18,542","8,939","2,733","261","3","125,769","125,769","10,291","13,118","9,943","15,540","21,201","20,572","18,974","10,087","5,012","1,008","23"
"대구광역시 군위군 (2772000000)","22,332","22,332","439","818","905","1,117","1,623","3,536","6,202","4,409","2,745","534","4","11,612","11,612","247","452","534","661","934","2,029","3,414","2,225","992","124","0","10,720","10,720","192","366","371","456","689","1,507","2,788","2,184","1,753","410","4"
