"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"부산광역시  (2600000000)","3,246,304","3,246,304","171,569","264,352","342,508","388,377","462,025","531,090","553,215","359,552","152,558","20,620","438","1,578,085","1,578,085","87,901","135,387","174,571","200,727","233,721","260,721","259,615","161,684","58,804","4,902","52","1,668,219","1,668,219","83,668","128,965","167,937","187,650","228,304","270,369","293,600","197,868","93,754","15,718","386"
"부산광역시 중구 (2611000000)","36,645","36,645","629","1,507","4,753","4,101","3,882","5,982","7,223","5,609","2,600","351","8","17,735","17,735","333","743","2,172","2,267","2,095","3,148","3,462","2,459","970","85","1","18,910","18,910","296","764","2,581","1,834","1,787","2,834","3,761","3,150","1,630","266","7"
"부산광역시 서구 (2614000000)","102,191","102,191","4,175","7,024","10,849","10,100","12,828","16,611","19,076","13,937","6,650","915","26","48,963","48,963","2,157","3,617","5,157","5,172","6,523","8,479","9,039","6,130","2,474","210","5","53,228","53,228","2,018","3,407","5,692","4,928","6,305","8,132","10,037","7,807","4,176","705","21"
"부산광역시 동구 (2617000000)","83,997","83,997","3,499","4,508","8,158","10,614","10,574","13,524","15,139","11,460","5,728","778","15","40,734","40,734","1,792","2,281","3,868","5,544","5,687","7,072","7,288","4,991","2,033","177","1","43,263","43,263","1,707","2,227","4,290","5,070","4,887","6,452","7,851","6,469","3,695","601","14"
"부산광역시 영도구 (2620000000)","101,964","101,964","3,616","6,332","8,845","8,916","12,153","16,965","20,612","16,057","7,547","907","14","49,968","49,968","1,855","3,293","4,859","4,773","6,378","8,799","9,940","7,069","2,778","223","1","51,996","51,996","1,761","3,039","3,986","4,143","5,775","8,166","10,672","8,988","4,769","684","13"
"부산광역시 부산진구 (2623000000)","365,577","365,577","18,570","24,439","47,153","53,956","49,297","56,226","58,838","38,012","16,846","2,197","43","174,831","174,831","9,438","12,192","22,019","27,459","25,093","27,480","27,294","16,944","6,346","564","2","190,746","190,746","9,132","12,247","25,134","26,497","24,204","28,746","31,544","21,068","10,500","1,633","41"
"부산광역시 동래구 (2626000000)","273,848","273,848","17,300","26,314","26,110","32,389","42,536","44,658","42,755","28,571","11,641","1,546","28","131,825","131,825","8,857","13,640","13,262","16,184","20,817","21,704","19,456","12,749","4,782","370","4","142,023","142,023","8,443","12,674","12,848","16,205","21,719","22,954","23,299","15,822","6,859","1,176","24"
"부산광역시 남구 (2629000000)","251,227","251,227","12,420","21,942","30,608","26,648","35,105","41,528","40,125","28,431","12,766","1,627","27","121,953","121,953","6,363","11,299","15,977","13,730","17,442","20,565","18,549","12,539","5,083","402","4","129,274","129,274","6,057","10,643","14,631","12,918","17,663","20,963","21,576","15,892","7,683","1,225","23"
"부산광역시 북구 (2632000000)","263,556","263,556","13,426","20,325","25,473","31,467","34,073","45,882","51,815","28,533","10,998","1,526","38","129,145","129,145","6,940","10,493","13,499","16,607","17,442","21,592","24,844","13,258","4,153","316","1","134,411","134,411","6,486","9,832","11,974","14,860","16,631","24,290","26,971","15,275","6,845","1,210","37"
"부산광역시 해운대구 (2635000000)","372,937","372,937","20,396","34,928","36,027","41,109","55,839","66,040","62,073","37,549","16,512","2,410","54","178,448","178,448","10,439","18,003","18,692","20,623","26,861","31,183","28,979","16,815","6,235","608","10","194,489","194,489","9,957","16,925","17,335","20,486","28,978","34,857","33,094","20,734","10,277","1,802","44"
"부산광역시 사하구 (2638000000)","287,305","287,305","12,657","22,817","29,827","30,594","39,341","49,491","53,882","33,874","13,070","1,709","43","142,405","142,405","6,547","11,723","16,080","16,528","20,439","24,510","25,589","15,617","4,985","381","6","144,900","144,900","6,110","11,094","13,747","14,066","18,902","24,981","28,293","18,257","8,085","1,328","37"
"부산광역시 금정구 (2641000000)","207,197","207,197","8,066","15,386","25,980","20,761","25,603","33,980","38,586","25,865","11,312","1,624","34","100,771","100,771","4,074","7,805","13,939","11,236","12,896","16,386","17,977","11,568","4,478","405","7","106,426","106,426","3,992","7,581","12,041","9,525","12,707","17,594","20,609","14,297","6,834","1,219","27"
"부산광역시 강서구 (2644000000)","148,922","148,922","16,489","17,486","10,614","23,578","30,873","18,517","17,621","9,777","3,424","534","9","76,973","76,973","8,420","8,943","5,785","12,054","16,640","10,047","8,714","4,942","1,319","106","3","71,949","71,949","8,069","8,543","4,829","11,524","14,233","8,470","8,907","4,835","2,105","428","6"
"부산광역시 연제구 (2647000000)","211,664","211,664","12,445","17,089","21,630","28,212","31,107","33,817","33,657","22,802","9,645","1,239","21","100,909","100,909","6,336","8,652","10,713","14,057","15,360","16,141","15,344","10,113","3,878","312","3","110,755","110,755","6,109","8,437","10,917","14,155","15,747","17,676","18,313","12,689","5,767","927","18"
"부산광역시 수영구 (2650000000)","169,465","169,465","7,509","11,280","19,946","22,885","23,027","26,155","27,826","20,547","9,002","1,266","22","79,367","79,367","3,820","5,824","9,400","11,574","11,377","12,358","12,137","8,872","3,675","329","1","90,098","90,098","3,689","5,456","10,546","11,311","11,650","13,797","15,689","11,675","5,327","937","21"
"부산광역시 사상구 (2653000000)","194,847","194,847","7,603","13,205","21,674","22,789","24,222","33,789","40,248","22,452","7,907","939","19","97,353","97,353","3,988","6,730","11,162","12,475","12,797","16,867","19,796","10,383","2,979","175","1","97,494","97,494","3,615","6,475","10,512","10,314","11,425","16,922","20,452","12,069","4,928","764","18"
"부산광역시 기장군 (2671000000)","174,962","174,962","12,769","19,770","14,861","20,258","31,565","27,925","23,739","16,076","6,910","1,052","37","86,705","86,705","6,542","10,149","7,987","10,444","15,874","14,390","11,207","7,235","2,636","239","2","88,257","88,257","6,227","9,621","6,874","9,814","15,691","13,535","12,532","8,841","4,274","813","35"
