"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"인천광역시  (2800000000)","3,049,315","3,049,315","190,227","275,708","340,606","430,248","474,597","516,389","471,030","230,567","101,612","17,784","547","1,523,210","1,523,210","97,572","141,237","175,746","224,696","244,615","257,983","232,251","107,308","37,706","3,998","98","1,526,105","1,526,105","92,655","134,471","164,860","205,552","229,982","258,406","238,779","123,259","63,906","13,786","449"
"인천광역시 중구 (2811000000)","175,350","175,350","12,809","15,844","21,748","29,028","29,433","26,799","21,199","12,238","5,335","887","30","90,802","90,802","6,617","8,086","10,987","15,768","15,788","14,675","10,861","5,742","2,085","184","9","84,548","84,548","6,192","7,758","10,761","13,260","13,645","12,124","10,338","6,496","3,250","703","21"
"인천광역시 동구 (2814000000)","56,662","56,662","2,342","4,185","5,322","6,188","7,992","9,595","9,991","7,038","3,467","526","16","28,360","28,360","1,191","2,225","2,819","3,334","4,303","5,062","4,903","3,095","1,333","91","4","28,302","28,302","1,151","1,960","2,503","2,854","3,689","4,533","5,088","3,943","2,134","435","12"
"인천광역시 미추홀구 (2817700000)","418,353","418,353","23,377","32,437","49,643","58,716","62,739","68,971","64,959","37,414","17,278","2,748","71","210,443","210,443","11,997","16,647","26,204","31,478","33,427","35,316","31,320","16,793","6,587","664","10","207,910","207,910","11,380","15,790","23,439","27,238","29,312","33,655","33,639","20,621","10,691","2,084","61"
"인천광역시 연수구 (2818500000)","408,563","408,563","32,715","47,374","45,781","56,883","71,010","68,114","53,975","21,630","9,183","1,840","58","202,185","202,185","16,621","24,238","23,647","28,304","34,953","33,354","26,890","10,369","3,397","406","6","206,378","206,378","16,094","23,136","22,134","28,579","36,057","34,760","27,085","11,261","5,786","1,434","52"
"인천광역시 남동구 (2820000000)","480,709","480,709","23,933","44,554","54,390","60,683","73,463","84,749","78,980","40,144","16,937","2,786","90","238,439","238,439","12,312","22,949","27,980","32,223","37,444","42,034","38,294","18,385","6,197","606","15","242,270","242,270","11,621","21,605","26,410","28,460","36,019","42,715","40,686","21,759","10,740","2,180","75"
"인천광역시 부평구 (2823700000)","491,474","491,474","26,402","38,251","55,492","74,040","70,864","84,194","81,375","40,002","17,719","3,054","81","241,359","241,359","13,623","19,679","27,981","38,590","36,281","40,613","39,195","18,196","6,490","699","12","250,115","250,115","12,779","18,572","27,511","35,450","34,583","43,581","42,180","21,806","11,229","2,355","69"
"인천광역시 계양구 (2824500000)","277,907","277,907","12,014","21,464","31,937","37,094","37,542","52,885","53,054","20,858","9,279","1,712","68","138,314","138,314","6,148","10,844","16,728","19,761","19,324","25,525","26,435","9,987","3,169","381","12","139,593","139,593","5,866","10,620","15,209","17,333","18,218","27,360","26,619","10,871","6,110","1,331","56"
"인천광역시 서구 (2826000000)","651,032","651,032","53,550","66,472","69,978","101,140","112,704","107,158","86,012","36,793","14,534","2,598","93","327,291","327,291","27,475","33,922","35,539","51,516","58,250","53,840","43,352","17,521","5,296","560","20","323,741","323,741","26,075","32,550","34,439","49,624","54,454","53,318","42,660","19,272","9,238","2,038","73"
"인천광역시 강화군 (2871000000)","69,617","69,617","2,559","4,250","4,151","4,843","6,920","10,812","16,693","11,499","6,539","1,328","23","34,809","34,809","1,336","2,182","2,323","2,621","3,617","5,704","8,368","5,696","2,613","341","8","34,808","34,808","1,223","2,068","1,828","2,222","3,303","5,108","8,325","5,803","3,926","987","15"
"인천광역시 옹진군 (2872000000)","19,648","19,648","526","877","2,164","1,633","1,930","3,112","4,792","2,951","1,341","305","17","11,208","11,208","252","465","1,538","1,101","1,228","1,860","2,633","1,524","539","66","2","8,440","8,440","274","412","626","532","702","1,252","2,159","1,427","802","239","15"
