"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"전라남도  (4600000000)","1,779,263","1,779,263","96,402","155,674","160,543","170,000","227,947","304,337","315,450","203,106","123,095","22,166","543","898,708","898,708","49,253","79,970","89,773","90,318","120,446","163,895","163,441","95,531","41,412","4,594","75","880,555","880,555","47,149","75,704","70,770","79,682","107,501","140,442","152,009","107,575","81,683","17,572","468"
"전라남도 목포시 (4611000000)","203,987","203,987","10,481","21,678","21,578","19,675","31,294","36,623","32,078","19,884","9,368","1,296","32","101,365","101,365","5,371","11,127","11,754","10,283","16,050","18,941","15,259","8,862","3,419","294","5","102,622","102,622","5,110","10,551","9,824","9,392","15,244","17,682","16,819","11,022","5,949","1,002","27"
"전라남도 여수시 (4613000000)","263,999","263,999","14,702","23,885","26,105","27,272","36,078","46,102","45,352","29,025","13,355","2,063","60","134,242","134,242","7,534","12,142","14,766","14,956","18,944","24,208","22,670","13,716","4,871","429","6","129,757","129,757","7,168","11,743","11,339","12,316","17,134","21,894","22,682","15,309","8,484","1,634","54"
"전라남도 순천시 (4615000000)","275,473","275,473","18,199","28,065","30,179","32,597","38,725","48,197","42,980","22,542","11,649","2,289","51","137,569","137,569","9,324","14,473","16,475","17,072","19,280","24,090","21,569","10,751","4,029","497","9","137,904","137,904","8,875","13,592","13,704","15,525","19,445","24,107","21,411","11,791","7,620","1,792","42"
"전라남도 나주시 (4617000000)","117,173","117,173","8,507","10,460","10,179","14,508","16,586","17,530","18,686","11,824","7,499","1,360","34","59,270","59,270","4,333","5,414","5,405","7,358","8,837","9,703","9,852","5,547","2,515","297","9","57,903","57,903","4,174","5,046","4,774","7,150","7,749","7,827","8,834","6,277","4,984","1,063","25"
"전라남도 광양시 (4623000000)","155,281","155,281","10,864","15,858","16,245","19,891","22,604","29,862","23,284","10,560","5,057","1,032","24","81,530","81,530","5,554","8,066","9,464","11,068","12,011","15,689","12,527","5,232","1,725","194","0","73,751","73,751","5,310","7,792","6,781","8,823","10,593","14,173","10,757","5,328","3,332","838","24"
"전라남도 담양군 (4671000000)","44,201","44,201","1,663","2,855","3,220","3,162","4,358","7,592","9,749","6,471","4,342","764","25","22,325","22,325","855","1,488","1,853","1,614","2,358","4,172","5,257","3,112","1,447","165","4","21,876","21,876","808","1,367","1,367","1,548","2,000","3,420","4,492","3,359","2,895","599","21"
"전라남도 곡성군 (4672000000)","26,621","26,621","753","1,561","1,783","1,666","2,348","4,479","5,965","4,166","3,135","748","17","13,273","13,273","373","846","999","862","1,290","2,457","3,273","2,010","995","166","2","13,348","13,348","380","715","784","804","1,058","2,022","2,692","2,156","2,140","582","15"
"전라남도 구례군 (4673000000)","23,809","23,809","732","1,517","1,489","1,243","2,172","4,146","5,365","3,810","2,817","505","13","11,633","11,633","368","777","824","627","1,133","2,272","2,838","1,778","908","106","2","12,176","12,176","364","740","665","616","1,039","1,874","2,527","2,032","1,909","399","11"
"전라남도 고흥군 (4677000000)","59,576","59,576","1,824","3,150","3,125","3,037","4,981","9,085","13,420","11,285","7,963","1,660","46","29,445","29,445","909","1,669","1,832","1,644","2,803","5,284","7,066","5,277","2,604","354","3","30,131","30,131","915","1,481","1,293","1,393","2,178","3,801","6,354","6,008","5,359","1,306","43"
"전라남도 보성군 (4678000000)","36,660","36,660","1,128","2,176","2,107","1,959","3,187","5,758","8,076","6,410","4,807","1,030","22","18,040","18,040","574","1,110","1,187","1,087","1,736","3,326","4,261","3,007","1,542","206","4","18,620","18,620","554","1,066","920","872","1,451","2,432","3,815","3,403","3,265","824","18"
"전라남도 화순군 (4679000000)","60,268","60,268","2,451","4,718","5,641","4,730","6,348","10,966","11,787","7,355","5,305","946","21","29,894","29,894","1,283","2,454","2,978","2,439","3,234","5,857","6,320","3,469","1,652","205","3","30,374","30,374","1,168","2,264","2,663","2,291","3,114","5,109","5,467","3,886","3,653","741","18"
"전라남도 장흥군 (4680000000)","34,205","34,205","1,264","2,293","2,295","2,233","3,296","5,577","7,180","5,323","3,872","859","13","16,842","16,842","637","1,203","1,295","1,220","1,814","3,117","3,679","2,441","1,264","168","4","17,363","17,363","627","1,090","1,000","1,013","1,482","2,460","3,501","2,882","2,608","691","9"
"전라남도 강진군 (4681000000)","31,801","31,801","1,357","2,129","2,110","2,120","2,989","4,968","6,799","4,953","3,658","702","16","15,602","15,602","662","1,100","1,203","1,139","1,604","2,749","3,517","2,283","1,209","134","2","16,199","16,199","695","1,029","907","981","1,385","2,219","3,282","2,670","2,449","568","14"
"전라남도 해남군 (4682000000)","62,190","62,190","2,458","4,394","4,166","3,950","6,336","10,322","13,294","9,620","6,559","1,069","22","31,249","31,249","1,278","2,217","2,424","2,183","3,433","5,824","7,035","4,463","2,199","192","1","30,941","30,941","1,180","2,177","1,742","1,767","2,903","4,498","6,259","5,157","4,360","877","21"
"전라남도 영암군 (4683000000)","50,170","50,170","2,076","3,823","4,037","3,671","6,279","9,159","9,780","6,249","4,260","814","22","26,394","26,394","1,050","1,966","2,428","2,021","3,711","5,373","5,365","2,940","1,365","169","6","23,776","23,776","1,026","1,857","1,609","1,650","2,568","3,786","4,415","3,309","2,895","645","16"
"전라남도 무안군 (4684000000)","95,559","95,559","7,326","10,929","9,355","11,341","15,191","14,342","13,060","8,385","4,796","812","22","48,131","48,131","3,781","5,558","5,089","5,661","7,759","7,756","6,829","3,967","1,572","158","1","47,428","47,428","3,545","5,371","4,266","5,680","7,432","6,586","6,231","4,418","3,224","654","21"
"전라남도 함평군 (4686000000)","29,514","29,514","899","1,712","1,839","1,750","2,635","4,933","6,536","4,860","3,638","692","20","15,050","15,050","468","892","1,086","965","1,510","2,948","3,618","2,263","1,157","143","0","14,464","14,464","431","820","753","785","1,125","1,985","2,918","2,597","2,481","549","20"
"전라남도 영광군 (4687000000)","53,218","53,218","3,334","3,882","4,467","4,936","5,973","8,602","9,602","7,043","4,609","750","20","26,642","26,642","1,661","1,990","2,492","2,499","3,270","4,844","5,049","3,182","1,499","154","2","26,576","26,576","1,673","1,892","1,975","2,437","2,703","3,758","4,553","3,861","3,110","596","18"
"전라남도 장성군 (4688000000)","42,842","42,842","1,890","3,014","3,363","3,383","4,578","7,345","8,565","5,926","4,018","739","21","22,008","22,008","956","1,554","1,984","1,787","2,513","4,156","4,685","2,838","1,364","166","5","20,834","20,834","934","1,460","1,379","1,596","2,065","3,189","3,880","3,088","2,654","573","16"
"전라남도 완도군 (4689000000)","44,761","44,761","2,027","3,210","2,777","2,773","5,111","7,204","9,049","6,892","4,944","760","14","22,693","22,693","1,053","1,704","1,616","1,515","2,936","4,167","4,643","3,226","1,670","161","2","22,068","22,068","974","1,506","1,161","1,258","2,175","3,037","4,406","3,666","3,274","599","12"
"전라남도 진도군 (4690000000)","28,052","28,052","1,123","1,934","1,926","1,793","2,797","4,608","5,880","4,208","3,231","542","10","14,031","14,031","529","996","1,109","925","1,627","2,669","3,088","1,987","1,000","99","2","14,021","14,021","594","938","817","868","1,170","1,939","2,792","2,221","2,231","443","8"
"전라남도 신안군 (4691000000)","39,903","39,903","1,344","2,431","2,557","2,310","4,081","6,937","8,963","6,315","4,213","734","18","21,480","21,480","700","1,224","1,510","1,393","2,593","4,293","5,041","3,180","1,406","137","3","18,423","18,423","644","1,207","1,047","917","1,488","2,644","3,922","3,135","2,807","597","15"
