"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"전북특별자치도  (5200000000)","1,726,914","1,726,914","88,976","159,801","173,949","172,886","228,144","299,176","290,258","189,498","103,762","20,009","455","860,355","860,355","45,394","82,520","94,539","90,787","116,486","155,203","146,015","88,069","36,680","4,609","53","866,559","866,559","43,582","77,281","79,410","82,099","111,658","143,973","144,243","101,429","67,082","15,400","402"
"전북특별자치도 전주시 (5211000000)","627,953","627,953","37,444","66,462","77,843","75,277","92,881","108,427","88,315","52,468","24,515","4,247","74","307,966","307,966","19,164","34,057","40,829","39,004","45,610","53,347","41,990","23,534","9,319","1,104","8","319,987","319,987","18,280","32,405","37,014","36,273","47,271","55,080","46,325","28,934","15,196","3,143","66"
"전북특별자치도 전주시 완산구 (5211100000)","317,616","317,616","16,420","31,304","39,794","36,708","44,170","56,702","48,233","28,794","13,038","2,409","44","153,860","153,860","8,434","16,086","20,691","19,018","21,414","27,235","22,536","12,980","4,850","612","4","163,756","163,756","7,986","15,218","19,103","17,690","22,756","29,467","25,697","15,814","8,188","1,797","40"
"전북특별자치도 전주시 덕진구 (5211300000)","310,337","310,337","21,024","35,158","38,049","38,569","48,711","51,725","40,082","23,674","11,477","1,838","30","154,106","154,106","10,730","17,971","20,138","19,986","24,196","26,112","19,454","10,554","4,469","492","4","156,231","156,231","10,294","17,187","17,911","18,583","24,515","25,613","20,628","13,120","7,008","1,346","26"
"전북특별자치도 군산시 (5213000000)","256,585","256,585","14,082","25,209","24,315","25,941","38,071","45,736","41,740","26,914","12,351","2,173","53","130,235","130,235","7,091","13,003","13,685","13,869","19,828","24,121","20,946","12,634","4,549","504","5","126,350","126,350","6,991","12,206","10,630","12,072","18,243","21,615","20,794","14,280","7,802","1,669","48"
"전북특별자치도 익산시 (5214000000)","267,346","267,346","13,048","24,655","29,021","27,021","34,574","47,618","46,044","28,318","14,260","2,729","58","133,005","133,005","6,566","12,642","15,874","14,350","17,708","24,092","22,971","13,147","5,032","617","6","134,341","134,341","6,482","12,013","13,147","12,671","16,866","23,526","23,073","15,171","9,228","2,112","52"
"전북특별자치도 정읍시 (5218000000)","100,740","100,740","4,248","8,098","8,166","7,805","11,543","17,798","19,065","13,463","8,663","1,850","41","50,307","50,307","2,196","4,257","4,588","4,205","6,021","9,548","9,940","6,161","2,975","409","7","50,433","50,433","2,052","3,841","3,578","3,600","5,522","8,250","9,125","7,302","5,688","1,441","34"
"전북특별자치도 남원시 (5219000000)","74,570","74,570","3,278","6,039","5,652","5,439","8,236","13,393","14,135","10,425","6,527","1,409","37","36,626","36,626","1,691","3,180","3,156","2,822","4,153","7,016","7,261","4,879","2,171","290","7","37,944","37,944","1,587","2,859","2,496","2,617","4,083","6,377","6,874","5,546","4,356","1,119","30"
"전북특별자치도 김제시 (5221000000)","81,554","81,554","3,449","5,632","6,347","6,708","8,755","13,249","16,335","11,825","7,522","1,695","37","40,908","40,908","1,758","2,915","3,574","3,564","4,805","7,438","8,492","5,514","2,474","368","6","40,646","40,646","1,691","2,717","2,773","3,144","3,950","5,811","7,843","6,311","5,048","1,327","31"
"전북특별자치도 완주군 (5271000000)","100,490","100,490","5,767","8,738","8,878","11,283","13,301","16,938","17,478","10,967","5,898","1,216","26","51,656","51,656","2,959","4,538","4,925","5,865","6,998","9,305","9,228","5,506","2,059","271","2","48,834","48,834","2,808","4,200","3,953","5,418","6,303","7,633","8,250","5,461","3,839","945","24"
