"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"충청남도  (4400000000)","2,136,678","2,136,678","127,545","202,717","213,786","252,123","314,645","352,056","339,630","200,868","110,219","22,605","484","1,096,883","1,096,883","65,379","104,685","118,215","138,447","167,763","186,926","173,958","95,813","40,119","5,501","77","1,039,795","1,039,795","62,166","98,032","95,571","113,676","146,882","165,130","165,672","105,055","70,100","17,104","407"
"충청남도 천안시 (4413000000)","663,858","663,858","44,085","68,015","86,106","98,095","109,426","110,981","86,212","39,314","18,231","3,323","70","340,457","340,457","22,624","34,896","45,810","53,345","57,560","56,476","43,771","18,556","6,647","762","10","323,401","323,401","21,461","33,119","40,296","44,750","51,866","54,505","42,441","20,758","11,584","2,561","60"
"충청남도 천안시 동남구 (4413100000)","262,368","262,368","14,632","25,110","32,711","32,972","39,338","45,887","40,432","20,035","9,428","1,782","41","132,930","132,930","7,472","12,865","17,186","17,928","20,380","23,341","20,292","9,533","3,508","419","6","129,438","129,438","7,160","12,245","15,525","15,044","18,958","22,546","20,140","10,502","5,920","1,363","35"
"충청남도 천안시 서북구 (4413300000)","401,490","401,490","29,453","42,905","53,395","65,123","70,088","65,094","45,780","19,279","8,803","1,541","29","207,527","207,527","15,152","22,031","28,624","35,417","37,180","33,135","23,479","9,023","3,139","343","4","193,963","193,963","14,301","20,874","24,771","29,706","32,908","31,959","22,301","10,256","5,664","1,198","25"
"충청남도 공주시 (4415000000)","100,379","100,379","3,666","7,810","10,314","8,076","11,068","16,279","20,707","13,256","7,492","1,675","36","50,069","50,069","1,905","4,040","5,229","4,495","5,800","8,477","10,489","6,482","2,719","427","6","50,310","50,310","1,761","3,770","5,085","3,581","5,268","7,802","10,218","6,774","4,773","1,248","30"
"충청남도 보령시 (4418000000)","92,335","92,335","3,986","7,103","7,043","7,420","11,267","15,823","18,605","12,802","6,904","1,343","39","46,788","46,788","2,033","3,631","4,050","4,166","6,131","8,563","9,428","5,965","2,518","297","6","45,547","45,547","1,953","3,472","2,993","3,254","5,136","7,260","9,177","6,837","4,386","1,046","33"
"충청남도 아산시 (4420000000)","358,767","358,767","28,951","40,233","38,070","52,377","64,142","55,731","42,923","22,688","11,479","2,138","35","187,137","187,137","14,822","20,757","21,186","28,133","34,562","30,129","22,271","10,511","4,247","510","9","171,630","171,630","14,129","19,476","16,884","24,244","29,580","25,602","20,652","12,177","7,232","1,628","26"
"충청남도 서산시 (4421000000)","172,752","172,752","10,624","16,895","15,733","19,552","25,413","29,678","27,446","16,198","9,110","2,051","52","90,485","90,485","5,478","8,732","9,610","11,309","13,629","15,853","14,107","7,849","3,425","489","4","82,267","82,267","5,146","8,163","6,123","8,243","11,784","13,825","13,339","8,349","5,685","1,562","48"
"충청남도 논산시 (4423000000)","106,983","106,983","4,722","8,349","8,486","9,099","12,201","18,024","21,515","14,349","8,415","1,787","36","53,647","53,647","2,446","4,334","4,733","4,975","6,427","9,646","10,942","6,784","2,950","404","6","53,336","53,336","2,276","4,015","3,753","4,124","5,774","8,378","10,573","7,565","5,465","1,383","30"
"충청남도 계룡시 (4425000000)","45,986","45,986","3,243","6,111","4,419","5,259","7,904","8,340","6,119","3,021","1,284","279","7","22,903","22,903","1,665","3,159","2,487","2,749","3,829","4,114","2,901","1,478","456","63","2","23,083","23,083","1,578","2,952","1,932","2,510","4,075","4,226","3,218","1,543","828","216","5"
"충청남도 당진시 (4427000000)","172,607","172,607","11,584","16,994","14,153","20,531","27,783","28,883","26,800","15,407","8,691","1,743","38","92,731","92,731","5,916","8,834","8,390","11,913","15,577","16,465","14,358","7,527","3,264","481","6","79,876","79,876","5,668","8,160","5,763","8,618","12,206","12,418","12,442","7,880","5,427","1,262","32"
"충청남도 금산군 (4471000000)","49,014","49,014","1,562","3,974","3,154","2,944","4,933","8,440","11,073","7,590","4,467","862","15","24,914","24,914","780","2,116","1,813","1,573","2,595","4,679","5,868","3,717","1,544","228","1","24,100","24,100","782","1,858","1,341","1,371","2,338","3,761","5,205","3,873","2,923","634","14"
