"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"충청북도  (4300000000)","1,592,916","1,592,916","93,662","143,084","167,535","192,099","222,054","271,668","267,758","144,874","76,303","13,562","317","811,762","811,762","48,215","73,681","92,567","106,328","115,712","139,620","136,053","68,755","27,693","3,087","51","781,154","781,154","45,447","69,403","74,968","85,771","106,342","132,048","131,705","76,119","48,610","10,475","266"
"충청북도 청주시 (4311000000)","857,663","857,663","58,594","84,573","103,746","122,592","130,949","143,008","120,446","59,809","28,834","5,006","106","433,942","433,942","29,969","43,425","56,109","67,041","67,324","71,344","59,460","27,704","10,381","1,170","15","423,721","423,721","28,625","41,148","47,637","55,551","63,625","71,664","60,986","32,105","18,453","3,836","91"
"충청북도 청주시 상당구 (4311100000)","195,478","195,478","13,100","19,754","20,365","24,064","29,065","34,075","30,270","15,626","7,802","1,332","25","97,066","97,066","6,576","10,155","10,952","12,566","14,661","16,787","15,006","7,257","2,796","305","5","98,412","98,412","6,524","9,599","9,413","11,498","14,404","17,288","15,264","8,369","5,006","1,027","20"
"충청북도 청주시 서원구 (4311200000)","181,962","181,962","9,149","16,893","24,200","21,457","24,535","32,842","29,118","15,203","7,318","1,216","31","90,806","90,806","4,710","8,716","13,071","11,796","12,302","16,030","14,241","6,917","2,729","291","3","91,156","91,156","4,439","8,177","11,129","9,661","12,233","16,812","14,877","8,286","4,589","925","28"
"충청북도 청주시 흥덕구 (4311300000)","292,285","292,285","23,232","27,905","36,943","50,047","46,085","46,794","36,470","16,338","7,142","1,302","27","149,134","149,134","11,884","14,343","19,834","27,348","23,893","23,364","17,951","7,659","2,544","311","3","143,151","143,151","11,348","13,562","17,109","22,699","22,192","23,430","18,519","8,679","4,598","991","24"
"충청북도 청주시 청원구 (4311400000)","187,938","187,938","13,113","20,021","22,238","27,024","31,264","29,297","24,588","12,642","6,572","1,156","23","96,936","96,936","6,799","10,211","12,252","15,331","16,468","15,163","12,262","5,871","2,312","263","4","91,002","91,002","6,314","9,810","9,986","11,693","14,796","14,134","12,326","6,771","4,260","893","19"
"충청북도 충주시 (4313000000)","207,018","207,018","10,949","17,379","20,345","22,613","27,461","36,246","37,836","20,565","11,512","2,063","49","104,949","104,949","5,641","8,923","11,557","12,782","14,183","18,456","19,150","9,572","4,211","462","12","102,069","102,069","5,308","8,456","8,788","9,831","13,278","17,790","18,686","10,993","7,301","1,601","37"
"충청북도 제천시 (4315000000)","128,152","128,152","6,133","10,813","12,861","11,291","15,280","22,561","25,295","14,916","7,763","1,201","38","64,656","64,656","3,262","5,494","7,170","6,261","7,906","11,570","12,694","7,128","2,904","263","4","63,496","63,496","2,871","5,319","5,691","5,030","7,374","10,991","12,601","7,788","4,859","938","34"
"충청북도 보은군 (4372000000)","30,256","30,256","970","1,735","1,734","1,758","2,676","4,856","7,677","4,983","3,139","719","9","15,403","15,403","513","911","1,037","993","1,465","2,696","4,087","2,448","1,088","162","3","14,853","14,853","457","824","697","765","1,211","2,160","3,590","2,535","2,051","557","6"
"충청북도 옥천군 (4373000000)","48,340","48,340","1,673","3,483","3,384","3,158","5,172","8,358","10,928","7,289","4,023","854","18","24,493","24,493","885","1,826","1,924","1,712","2,682","4,441","5,750","3,609","1,448","214","2","23,847","23,847","788","1,657","1,460","1,446","2,490","3,917","5,178","3,680","2,575","640","16"
