시도명,연도그룹,누적기관수
강원특별자치도,2008이전,1443
강원특별자치도,2009,1504
강원특별자치도,2010,1562
강원특별자치도,2011,1627
강원특별자치도,2012,1698
강원특별자치도,2013,1794
강원특별자치도,2014,1866
강원특별자치도,2015,1945
강원특별자치도,2016,2024
강원특별자치도,2017,2104
강원특별자치도,2018,2202
강원특별자치도,2019,2286
강원특별자치도,2020,2397
강원특별자치도,2021,2483
강원특별자치도,2022,2557
강원특별자치도,2023,2615
강원특별자치도,2024,2686
경기도,2008이전,9307
경기도,2009,9946
경기도,2010,10609
경기도,2011,11274
경기도,2012,11932
경기도,2013,12675
경기도,2014,13418
경기도,2015,14196
경기도,2016,15219
경기도,2017,16234
경기도,2018,17263
경기도,2019,18400
경기도,2020,19333
경기도,2021,20335
경기도,2022,21472
경기도,2023,22512
경기도,2024,23516
경상남도,2008이전,2790
경상남도,2009,2942
경상남도,2010,3078
경상남도,2011,3241
경상남도,2012,3412
경상남도,2013,3562
경상남도,2014,3752
경상남도,2015,3949
경상남도,2016,4180
경상남도,2017,4402
경상남도,2018,4624
경상남도,2019,4825
경상남도,2020,4980
경상남도,2021,5144
경상남도,2022,5288
경상남도,2023,5432
경상남도,2024,5600
경상북도,2008이전,2547
경상북도,2009,2654
경상북도,2010,2740
경상북도,2011,2855
경상북도,2012,2981
경상북도,2013,3105
경상북도,2014,3228
경상북도,2015,3384
경상북도,2016,3512
경상북도,2017,3663
경상북도,2018,3823
경상북도,2019,3979
경상북도,2020,4080
경상북도,2021,4179
경상북도,2022,4286
경상북도,2023,4393
경상북도,2024,4514
광주광역시,2008이전,1244
광주광역시,2009,1338
광주광역시,2010,1424
광주광역시,2011,1517
광주광역시,2012,1591
광주광역시,2013,1718
광주광역시,2014,1861
광주광역시,2015,1985
광주광역시,2016,2122
광주광역시,2017,2250
광주광역시,2018,2381
광주광역시,2019,2513
광주광역시,2020,2617
광주광역시,2021,2708
광주광역시,2022,2851
광주광역시,2023,2950
광주광역시,2024,3046
대구광역시,2008이전,2565
대구광역시,2009,2712
대구광역시,2010,2879
대구광역시,2011,3053
대구광역시,2012,3197
대구광역시,2013,3360
대구광역시,2014,3538
대구광역시,2015,3716
대구광역시,2016,3959
대구광역시,2017,4192
대구광역시,2018,4418
대구광역시,2019,4624
대구광역시,2020,4786
대구광역시,2021,4975
대구광역시,2022,5152
대구광역시,2023,5362
대구광역시,2024,5555
대전광역시,2008이전,1514
대전광역시,2009,1597
대전광역시,2010,1684
대전광역시,2011,1770
대전광역시,2012,1879
대전광역시,2013,1964
대전광역시,2014,2062
대전광역시,2015,2179
대전광역시,2016,2306
대전광역시,2017,2418
대전광역시,2018,2540
대전광역시,2019,2656
대전광역시,2020,2747
대전광역시,2021,2849
대전광역시,2022,2935
대전광역시,2023,3008
대전광역시,2024,3125
부산광역시,2008이전,3084
부산광역시,2009,3256
부산광역시,2010,3455
부산광역시,2011,3671
부산광역시,2012,3882
부산광역시,2013,4148
부산광역시,2014,4401
부산광역시,2015,4663
부산광역시,2016,4946
부산광역시,2017,5254
부산광역시,2018,5593
부산광역시,2019,5838
부산광역시,2020,6114
부산광역시,2021,6371
부산광역시,2022,6716
부산광역시,2023,7004
부산광역시,2024,7274
서울특별시,2008이전,10451
서울특별시,2009,11121
서울특별시,2010,11871
서울특별시,2011,12590
서울특별시,2012,13220
서울특별시,2013,13946
서울특별시,2014,14747
서울특별시,2015,15598
서울특별시,2016,16506
서울특별시,2017,17461
서울특별시,2018,18483
서울특별시,2019,19572
서울특별시,2020,20652
서울특별시,2021,21753
서울특별시,2022,22759
서울특별시,2023,23698
서울특별시,2024,24887
세종특별자치시,2008이전,108
세종특별자치시,2009,111
세종특별자치시,2010,114
세종특별자치시,2011,121
세종특별자치시,2012,129
세종특별자치시,2013,138
세종특별자치시,2014,176
세종특별자치시,2015,237
세종특별자치시,2016,283
세종특별자치시,2017,350
세종특별자치시,2018,404
세종특별자치시,2019,437
세종특별자치시,2020,483
세종특별자치시,2021,516
세종특별자치시,2022,556
세종특별자치시,2023,600
세종특별자치시,2024,622
울산광역시,2008이전,904
울산광역시,2009,965
울산광역시,2010,1035
울산광역시,2011,1086
울산광역시,2012,1143
울산광역시,2013,1231
울산광역시,2014,1290
울산광역시,2015,1365
울산광역시,2016,1437
울산광역시,2017,1507
울산광역시,2018,1578
울산광역시,2019,1640
울산광역시,2020,1690
울산광역시,2021,1730
울산광역시,2022,1764
울산광역시,2023,1814
울산광역시,2024,1859
인천광역시,2008이전,2152
인천광역시,2009,2279
인천광역시,2010,2411
인천광역시,2011,2545
인천광역시,2012,2711
인천광역시,2013,2891
인천광역시,2014,3050
인천광역시,2015,3245
인천광역시,2016,3422
인천광역시,2017,3646
인천광역시,2018,3845
인천광역시,2019,4059
인천광역시,2020,4203
인천광역시,2021,4388
인천광역시,2022,4649
인천광역시,2023,4884
인천광역시,2024,5099
전라남도,2008이전,1946
전라남도,2009,2041
전라남도,2010,2139
전라남도,2011,2243
전라남도,2012,2334
전라남도,2013,2429
전라남도,2014,2532
전라남도,2015,2637
전라남도,2016,2764
전라남도,2017,2885
전라남도,2018,3004
전라남도,2019,3097
전라남도,2020,3181
전라남도,2021,3266
전라남도,2022,3335
전라남도,2023,3411
전라남도,2024,3467
전북특별자치도,2008이전,2156
전북특별자치도,2009,2241
전북특별자치도,2010,2337
전북특별자치도,2011,2421
전북특별자치도,2012,2537
전북특별자치도,2013,2664
전북특별자치도,2014,2764
전북특별자치도,2015,2910
전북특별자치도,2016,3033
전북특별자치도,2017,3152
전북특별자치도,2018,3292
전북특별자치도,2019,3416
전북특별자치도,2020,3518
전북특별자치도,2021,3617
전북특별자치도,2022,3743
전북특별자치도,2023,3845
전북특별자치도,2024,3926
제주특별자치도,2008이전,582
제주특별자치도,2009,598
제주특별자치도,2010,622
제주특별자치도,2011,651
제주특별자치도,2012,680
제주특별자치도,2013,733
제주특별자치도,2014,790
제주특별자치도,2015,830
제주특별자치도,2016,911
제주특별자치도,2017,996
제주특별자치도,2018,1055
제주특별자치도,2019,1125
제주특별자치도,2020,1164
제주특별자치도,2021,1203
제주특별자치도,2022,1272
제주특별자치도,2023,1322
제주특별자치도,2024,1366
충청남도,2008이전,1898
충청남도,2009,1997
충청남도,2010,2086
충청남도,2011,2193
충청남도,2012,2307
충청남도,2013,2418
충청남도,2014,2546
충청남도,2015,2691
충청남도,2016,2837
충청남도,2017,2991
충청남도,2018,3144
충청남도,2019,3294
충청남도,2020,3389
충청남도,2021,3484
충청남도,2022,3598
충청남도,2023,3707
충청남도,2024,3840
충청북도,2008이전,1507
충청북도,2009,1565
충청북도,2010,1634
충청북도,2011,1713
충청북도,2012,1802
충청북도,2013,1878
충청북도,2014,1973
